"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"","699
034","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
050","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
052","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
054","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","19","3.936","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Systems in Soc Work","715
001","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
001","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
003","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
005","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
011","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
012","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
013","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
014","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
015","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","109","3.953","92.7","3.7","2.8",".",".",".",".",".",".",".",".",".",".",".","0.9","."
"Aging and Mental Health","821
001","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Law II","823
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","836
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","836
002","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mental Hlth Policies&Services","Course Total","35","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","41","3.976","97.6",".","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Administration-Social Work","841
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Consultatn&Suprvsn-Soc Work","842
001","29","3.944","82.8","10.3",".",".",".",".",".","6.9",".",".",".",".",".",".",".","."
"Crises Intervention-Soc Wrk","854
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Interventn-Mental Illness","870
001","15","3.893","80.0","6.7","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Soc Work Practice in Hlth Care","873
001","23","3.674","39.1","56.5","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chld, Youth, Fam Pol&Services","920
001","28","3.821","67.9","28.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Problems & Soc Work","924
001","21","3.905","81.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Student Research Seminar","947
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar","948
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PhD Proseminar","952
001","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
