"GEOLOGY & GEOPHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"727
Advanced Hydrogeology","001","","6","3.857","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"737
Conducted Field Trip","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"772
Metamorphic Petrology","001","","7","3.667","28.6","57.1",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"793
Geophysical Inverse Theory","001","","9","3.813","66.7","11.1","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"875","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"875","003","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","005","","10","4.000","10.0",".",".",".",".",".",".","90.0",".",".",".",".",".",".",".","."
"Advanced Topics in Geology","Course Total","","54","3.978","64.8",".","1.9",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"920
Glacial & Pleistocene Geol","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"940
Seminar in Paleontology","001","","14","3.857","42.9",".","7.1",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","56","",".",".",".",".",".",".",".","83.9",".",".",".","14.3","1.8",".",".","."
"999
Adv Independent Reading","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
