"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Methods of Applied Math 1","703","001","","37","3.878","86.5","5.4","5.4","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Fluid Dynamics","705","001","","37","3.681","67.6","18.9","5.4",".","2.7",".","2.7",".",".",".",".",".",".","2.7",".","."
"Methods of Computatnl Math I","714","001","","39","3.526","43.6","35.9","10.3","2.6","7.7",".",".",".",".",".",".",".",".",".",".","."
"First Crse in Real Analysis","721","001","","35","3.561","60.0","5.7","17.1","2.9","8.6",".",".","5.7",".",".",".",".",".",".",".","."
"Nonlinear Optimization I","726","001","","6","3.167","16.7","16.7","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Probability I","733","001","","26","3.563","50.0","11.5","23.1","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"Abstract Algebra","741","001","","22","3.500","40.9","31.8","13.6",".","9.1",".",".",".",".",".",".",".","4.5",".",".","."
"Homological Algebra","750","001","","23","3.739","69.6","13.0","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Topology I","751","001","","20","3.737","50.0","40.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Differentiable Manifolds","761","001","","14","3.857","92.9",".",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Algebraic Geometry","763","001","","17","3.844","70.6","17.6","5.9",".",".",".",".",".",".",".",".",".",".","5.9",".","."
"Foundations of Mathematics","770","001","","8","3.563","62.5","12.5",".","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Computability Theory","773","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Partial Differential Equatn","819","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Complex Analysis","823","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourier Analysis","827","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elliptic Curves&Modular Forms","844","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Combinatorics","846","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Differentl Topology","856","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Topics in Geometry","865","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics in Foundations","873","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Analysis","921","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","941","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","941","005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Algebra","","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamental Math Skills","95","001","","8","2.875","12.5","25.0","37.5",".","12.5","12.5",".",".",".",".",".",".",".",".",".","."
"Seminar in Topology","951","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Foundations of Math","975","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","083","","3","***","","","","","","","","","",".",".",".",".",".",".","."
