"Summary by Level","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"POP HLTH","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","18","3.717","55.6","33.3","11.1","",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","50","3.610","44.0","36.0","18.0","",".",".","",".","",".",".","",".",".","",".",".","2.0",".",".","."
"Undergraduates","70","3.649","48.6","34.3","15.7","",".",".","",".","",".",".","",".",".","",".",".","1.4",".",".","."
"Special","26","3.735","61.5","23.1","11.5","",".",".","",".","",".",".","",".",".","",".",".","3.8",".",".","."
"Graduate","165","3.829","62.4","12.7","4.8","",".","0.6","",".","",".","10.9","",".",".","",".","3.0","4.2",".","1.2","."
"Prof Yr 1","99","3.714","20.2","3.0","3.0","",".",".","",".","",".",".","",".","73.7","",".",".",".",".",".","."
"Prof Yr 2","26","3.775","50.0","26.9","3.8","",".",".","",".","",".",".","",".","11.5","",".",".","7.7",".",".","."
"Prof Yr 3","21","3.681","66.7","9.5","19.0","",".",".","",".","",".",".","",".",".","",".",".","4.8",".",".","."
"Prof Yr 4","233","3.794","67.4","15.0","10.3","",".","0.4","",".","",".",".","",".","0.4","",".",".","6.4",".",".","."
"Professionals","379","3.780","53.8","12.4","8.4","",".","0.3","",".","",".",".","",".","20.3","",".",".","4.7",".",".","."
