"GREEK (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","",""
"103
First Semester Greek","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"303
First Semester Greek","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"305
Intermediate Greek","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"401
Greek Drama","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"532
Thucydides","001","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"890","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research Thesis","Course Total","","12","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
