"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Program","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
Biomedical Engr Design","001","","72","3.639","44.4","40.3","13.9","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"300
Biomed Engineering Design","001","","80","3.806","65.0","31.3","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"315
Biomechanics","001","","71","3.106","9.9","31.0","38.0","15.5","4.2","1.4",".",".",".",".",".",".",".",".",".","."
"320
Intro Transport Phenomena","001","","11","2.409",".",".","45.5","27.3","9.1","18.2",".",".",".",".",".",".",".",".",".","."
"389","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"399","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","046","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","057","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","058","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","073","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","083","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","092","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","097","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","099","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","108","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","110","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","118","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","123","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","124","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","125","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","126","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","66","3.992","98.5","1.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"400
Capstone Design Course","001","","106","3.566","25.5","62.3","12.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"462
Medical Instrumentation","001","","12","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"510
Intro to Tissue Engineering","001","","40","3.550","37.5","42.5","15.0","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"511
Tissue Engineering Laboratory","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"517
Biology in Engineering Seminar","001","","44","",".",".",".",".",".",".",".",".",".","95.5","4.5",".",".",".",".","."
"520
Stem Cell Bioengineering","001","","19","3.719","47.4","26.3","10.5",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"535
Intro to Energy-Tissue Interac","001","","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Intro to Biolog & Med Microsys","001","","28","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","","Page 109 of 421",""
