"COMPUTER SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","097","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","101","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","25","3.957","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Construction of Compilers","001","","16","3.800","56.3","37.5",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"703
Adv Prog Language&Compilers","001","","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"706
Analysis of Software Artifacts","001","","9","3.813","55.6","33.3",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"714
Methods of Computatnl Math I","001","","11","3.591","45.5","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"726
Nonlinear Optimization I","001","","21","3.200","14.3","33.3","28.6","14.3","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"727
Convex Analysis","001","","6","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"736
Advanced Operating Systems","001","","19","3.789","73.7","10.5","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"739
Distributed Systems","001","","42","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"752
Adv Computer Architecture I","001","","10","3.667","20.0","40.0",".",".",".",".",".",".",".",".",".",".","40.0",".",".","."
"756
Computer-Aided Desgn-VLSI","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"759
HPC for Apps in Engr","001","","21","3.974","85.7","4.8",".",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"760
Machine Learning","001","","68","3.699","63.2","14.7","20.6","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"764
Topics-Database Mgt Systems","001","","40","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"767
Comp Mthds for Med Image Anlys","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"770
Human-Computer Interaction","001","","40","3.713","52.5","37.5","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"784
Data Models and Languages","001","","45","3.711","53.3","35.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"787
Advanced Algorithms","001","","36","3.653","52.8","27.8","16.7","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"790","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Thesis","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","005","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
