"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","16","3.813","93.8",".",".",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","250
002","","46","2.826","13.0","15.2","32.6","19.6","10.9","8.7",".",".",".",".",".",".",".",".",".","."
"","250
003","","39","2.936","12.8","23.1","30.8","15.4","15.4",".","2.6",".",".",".",".",".",".",".",".","."
"Process Synthesis","Course Total","","85","2.876","12.9","18.8","31.8","17.6","12.9","4.7","1.2",".",".",".",".",".",".",".",".","."
"Intro to Chem Process Modeling","255
001","","61","2.926","19.7","19.7","24.6","14.8","16.4","1.6","3.3",".",".",".",".",".",".",".",".","."
"","310
001","","58","2.888","13.8","19.0","34.5","13.8","10.3","8.6",".",".",".",".",".",".",".",".",".","."
"","310
002","","11","3.136","27.3","9.1","36.4","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","Course Total","","69","2.928","15.9","17.4","34.8","14.5","10.1","7.2",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311
001","","58","2.948","25.9","6.9","29.3","6.9","31.0",".",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320
001","","92","2.913","21.7","7.6","30.4","16.3","21.7","2.2",".",".",".",".",".",".",".",".",".","."
"","324
001","","16","3.406","43.8","6.3","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","","13","3.115","15.4","23.1","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","003
324","","14","3.500","35.7","35.7","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","004
324","","12","2.625","8.3","25.0","16.7","16.7","25.0",".","8.3",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","55","3.191","27.3","21.8","29.1","12.7","7.3",".","1.8",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326
001","","61","2.828","13.1","16.4","31.1","14.8","18.0","6.6",".",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426
001","","61","3.057","19.7","21.3","23.0","23.0","13.1",".",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430
001","","68","2.985","22.1","20.6","23.5","8.8","22.1","1.5","1.5",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440
001","","54","3.231","11.1","42.6","37.0","3.7","3.7","1.9",".",".",".",".",".",".",".",".",".","."
"Process Design","450
001","","40","3.500","37.5","32.5","22.5","7.5",".",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470
001","","30","3.267","20.0","36.7","30.0","3.3","10.0",".",".",".",".",".",".",".",".",".",".","."
"","489
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Biology in Engineering Seminar","517
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stem Cell Bioengineering","520
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Polymer Sci & Technology","540
001","","40","3.038","27.5","5.0","40.0","12.5","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"Intro to Colloid&Interface Sci","547
001","","14","3.357","42.9","28.6","21.4",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biochemical Engineering","560
001","","15","3.500","40.0","26.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","562
002","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
005","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","562
010","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
011","","36","3.375","38.9","19.4","25.0","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","Course Total","","61","3.500","60.7","14.8","14.8","6.6","3.3",".",".",".",".",".",".",".",".",".",".","."
"Solar Energy Technology","567
001","","6","3.417","66.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"","599
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","","Page 113 of 421",""
