"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"The Information Society","201
001","","131","3.576","42.7","42.7","9.9","2.3","0.8",".","1.5",".",".",".",".",".",".",".",".","."
"Information Literacies Online","301
001","","17","3.765","70.6","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Tpcs in Info St-Tech Aspects","341
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","351
001","","38","3.711","78.9","7.9","5.3","2.6",".","5.3",".",".",".",".",".",".",".",".",".","."
"","351
002","","51","3.840","78.4","9.8","7.8","2.0",".",".",".",".",".",".",".",".","2.0",".",".","."
"Intro to Digital Information","Course Total","","89","3.784","78.7","9.0","6.7","2.2",".","2.2",".",".",".",".",".",".","1.1",".",".","."
"Independent Reading & Research","399
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","450
001","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
450","","26","3.729","42.3","50.0",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","450
006","","32","3.922","84.4","15.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Agencies & Their Envir","Course Total","","92","3.900","78.3","19.6",".",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"","451
001","","33","3.844","72.7","18.2","6.1",".",".",".",".",".","3.0",".",".",".",".",".",".","."
"","451
002","","25","3.700","48.0","44.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Online Searching for Info Pro","Course Total","","62","3.738","58.1","32.3","6.5",".","1.6",".",".",".","1.6",".",".",".",".",".",".","."
"Surv, Privacy, Police Powers","460
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","517
001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","517
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","517
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","517
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","005
517","","13","3.269","30.8","38.5","7.7",".","23.1",".",".",".",".",".",".",".",".",".",".","."
"Consumer Health Information","Course Total","","26","3.360","46.2","23.1","7.7",".","15.4","3.8",".","3.8",".",".",".",".",".",".",".","."
"Organization of Information","551
001","","33","3.909","84.8","12.1","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music Resrch Mthds & Matls","619
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
001","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","620
002","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","","21","3.950","90.5",".","4.8",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","622
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
622","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Childrens Literature","Course Total","","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pedagogical Theory & Practice","639
001","","16","3.733","56.3","25.0","12.5",".",".",".",".",".","6.3",".",".",".",".",".",".","."
"","640
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Library&Informatn St","Course Total","","26","4.000","96.2",".",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"","644
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","Course Total","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
