"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","7","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","8","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","17","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","49","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","3","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","54","3.321","22.2","22.2","50.0","3.7","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","1.9"
"Prof Yr 4","","15","3.515","53.3","13.3","33.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","72","3.339","27.8","19.4","48.6","2.8","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","1.4"
