"E ASIAN LANGUAGES & LITERA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","","",""
"First Semester Chinese","101","001","","62","3.639","67.7","16.1","6.5",".","3.2","4.8",".",".","1.6",".",".",".",".",".",".","."
"","103","001","","53","3.708","69.8","13.2","7.5","7.5","1.9",".",".",".",".",".",".",".",".",".",".","."
"","103","002","","47","3.734","66.0","21.3","8.5","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"First Semester Japanese","","Course Total","","100","3.720","68.0","17.0","8.0","5.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Elementary Korean","105","001","","66","3.269","40.9","18.2","15.2","10.6","9.1","4.5",".","1.5",".",".",".",".",".",".",".","."
"","122","001","","11","3.950","81.8","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","122","002","","9","3.750","44.4","44.4",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Elementary Chinese","","Course Total","","20","3.861","65.0","25.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Elementary Japanese","124","001","","28","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Chinese","201","001","","52","3.853","82.7","5.8","7.7",".","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"Third Semester Japanese","203","001","","41","3.220","41.5","17.1","24.4","2.4","7.3","2.4","4.9",".",".",".",".",".",".",".",".","."
"Asian Religions","267","001","","15","3.633","53.3","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277","001","","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Humanities Topics in EAS","300","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Chinese","301","001","","42","3.659","73.8","11.9","2.4","2.4","2.4","2.4","2.4",".",".",".",".",".","2.4",".",".","."
"5th Semester Japanese","303","001","","28","3.560","42.9","25.0","14.3","3.6","3.6",".",".","7.1",".",".",".",".","3.6",".",".","."
"Third Semester Chinese","317","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Japanese","319","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Yr Classical Chinese","321","001","","20","3.632","55.0","20.0","15.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Elementary Korean","325","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Japanese","327","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Chinese Conversation","333","001","","23","3.833","73.9","4.3","13.0",".",".",".",".",".",".",".",".",".","8.7",".",".","."
"Intmed Japanese Conversatn","335","001","","19","3.605","36.8","47.4","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Korean","345","001","","25","3.388","40.0","28.0","16.0","4.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Korean","347","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Taoism","350","001","","29","3.470","31.0","34.5","13.8","10.3",".",".",".",".",".",".",".",".","6.9","3.4",".","."
"Survey of Chinese Literature","351","001","","19","3.853","68.4","15.8","5.3",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"Survey of Japanese Literature","353","001","","18","3.412","27.8","33.3","22.2","11.1",".",".",".",".",".",".",".",".","5.6",".",".","."
"Intermed Tech Japanese I","374","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seventh Semester Chinese","401","001","","17","3.824","82.4","11.8",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Seventh Semester Japanese","403","001","","18","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seventh Semester Korean","405","001","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Chinese Linguistics","431","001","","24","3.604","45.8","37.5","12.5",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Intro-Japanese Linguistics","434","001","","11","3.600","45.5","18.2","27.3",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Japanese for Bus & Industry","601","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Chinese Language","631","001","","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"Directed Study","698","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
