"L&S","","","","","","","","","","","","","","","","","","","","",""
"","LANG & CULTURES OF ASIA - LA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","",""
"Fifth Semester Hindi","553","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Persian","563","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Urdu","571","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"7th Semester Asian Language","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Read-Ottoman Turkish&Chagatay","644","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"LCA LANG
522","","Dept. Total","","191","3.791","76.4","12.0","8.9","0.5","0.5","0.5","0.5","0.5",".",".",".",".",".",".",".","."
