"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"Pract-Teach Undergrad Ling","Course Total","","2","***","","","","","","","","","","","","","","","",""
"755","001","","6","4.000","66.7",".",".",".",".",".",".","16.7",".",".",".",".","16.7",".",".","."
"755","002","","7","4.000","71.4",".",".",".",".",".",".","14.3",".",".",".",".","14.3",".",".","."
"Old Germanic Languages","Course Total","","13","4.000","69.2",".",".",".",".",".",".","15.4",".",".",".",".","15.4",".",".","."
"758
Topics-Contemporary German","001","","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research in Lit","Course Total","","8","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
"991","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","009","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Linguistc&Germanic Philolgy","Course Total","","18","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
