"E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"763
Studies-Japanese Literature","001","","7","4.000","28.6",".",".",".",".",".",".",".",".",".",".",".","71.4",".",".","."
"775
Stdys-Japanese Linguistics","001","","7","3.500","14.3","57.1","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"799
Reading for Research","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"951
Smr-Chinese Literature","001","","10","3.929","60.0","10.0",".",".",".",".",".",".",".",".",".",".","30.0",".",".","."
"990","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","23","",".",".",".",".",".",".",".","56.5",".",".",".","43.5",".",".",".","."
"999
Independent Research","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"E ASIAN
295","Dept. Total","","807","3.627","56.1","18.6","9.7","3.0","2.7","1.0","0.4","2.5","0.1","1.6",".","1.2","2.7","0.1","0.1","0.1"
