"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Educ in Animal Sci","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"101
Intro to Animal Sciences","001","","86","3.324","30.2","26.7","29.1","7.0","4.7",".","1.2","1.2",".",".",".",".",".",".",".","."
"200
Biol&Apprec-Companion Anmls","001","","139","3.250","30.9","25.9","22.3","9.4","7.2","3.6",".",".",".",".",".",".","0.7",".",".","."
"220
Grwth,Compos&Eval-Meat Anml","001","","29","3.483","48.3","17.2","17.2","17.2",".",".",".",".",".",".",".",".",".",".",".","."
"299","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","001","","15","2.967","20.0","20.0","33.3","13.3","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"375","003","","9","3.333","44.4",".","44.4",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","24","3.051","29.2","12.5","37.5","8.3","8.3",".","4.2",".",".",".",".",".",".",".",".","."
"399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"414
Ruminant Nutrition","001","","12","3.500","58.3","8.3","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"415
Appl-Monogastrc Nutr Prncpl","001","","14","3.143","50.0",".","21.4",".","21.4","7.1",".",".",".",".",".",".",".",".",".","."
"431
Beef Cattle Production","001","","17","2.912","23.5","5.9","41.2",".","23.5","5.9",".",".",".",".",".",".",".",".",".","."
"434
Reproductive Physiology","001","","41","3.366","19.5","48.8","19.5","9.8","2.4",".",".",".",".",".",".",".",".",".",".","."
"435
Animal Sciences Proseminar","001","","50","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"515
Commercial Meat Processing","001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","Course Total","","28","4.000","96.4",".",".",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"710
Chem of the Food Lipids","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Animal Sci Tchng","Course Total","","3","***","","","","","","","","","","","","","","","",""
