"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"","101
003","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","20","3.579","60.0","20.0","5.0",".","5.0","5.0",".",".",".",".",".",".","5.0",".",".","."
"1st-Yr Seminar: Biological Sci","Course Total","34","3.758","76.5","11.8","2.9",".","2.9","2.9",".",".",".",".",".",".","2.9",".",".","."
"","102
001","19","3.611","42.1","31.6","21.1",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","003
102","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Humanities","Course Total","34","3.652","47.1","32.4","17.6",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"L&S 2nd Yr Career Development","210
001","257","3.820","85.6","6.2","3.5","1.6","0.8","0.4","1.6",".",".",".",".",".",".",".",".","0.4"
"","250
001","16","3.941","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","16","3.973","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
003","18","3.923","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
004","17","3.857","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
005","18","3.692","72.2","5.6","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","006
250","15","3.968","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
250","18","3.829","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
250","17","3.689","64.7","17.6","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","250
009","16","3.758","62.5","12.5","18.8",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"Undergrad Research Experience","Course Total","151","3.845","79.5","11.9","6.0","1.3","0.7",".",".",".",".",".",".",".",".",".","0.7","."
"","260
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrnshp in Liberal Arts & Sci","Course Total","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Paradigms&Process-Acad Inquiry","315
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"L&S Junior/Senior Seminar","400
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"INTER-LS
502","Dept. Total","518","3.816","81.9","9.5","4.8","1.2","0.8","0.4","0.8",".",".",".",".",".","0.4",".","0.2","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","138","3.745","69.6","17.4","8.0","1.4","1.4","0.7",".",".",".",".",".",".","0.7",".","0.7","."
"Sophomore","","234","3.843","82.9","8.1","4.7","1.7","0.4","0.4","0.9",".",".",".",".",".","0.4",".",".","0.4"
"Junior","","101","3.932","92.1","5.9","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior","","45","3.820","91.1",".","2.2",".","2.2",".","4.4",".",".",".",".",".",".",".",".","."
"Undergraduates","","518","3.816","81.9","9.5","4.8","1.2","0.8","0.4","0.8",".",".",".",".",".","0.4",".","0.2","0.2"
"","Dept. Total","518","3.816","81.9","9.5","4.8","1.2","0.8","0.4","0.8",".",".",".",".",".","0.4",".","0.2","0.2"
