"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"CELL AND REGENERATIVE BIOL Section","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","","","","","","","","","",""
"CRB
Dept. Total
217","136","3.778","65.4","16.9","7.4","",".","",".","",".","",".","8.8","",".",".","",".","0.7","0.7",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","***","","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","8","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","14","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","24","3.983","95.8","4.2",".","",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","110","3.721","60.0","20.0","9.1","",".","",".","",".","",".","9.1","",".",".","",".","0.9","0.9",".",".","."
"Prof Yr 4","2","***","","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","2","***","","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Dept. Total","136","3.778","65.4","16.9","7.4","",".","",".","",".","",".","8.8","",".",".","",".","0.7","0.7",".",".","."
