"Contemporary Topics","365
001","","36","4.000","97.2",".",".",".","","",".","",".","",".",".","",".","",".",".","",".","","2.8",".",".","."
"Computer-Based Data Mgt","422
002","","15","3.733","53.3","40.0","6.7",".","","",".","",".","",".",".","",".","",".",".","",".","",".",".",".","."
"Contemporary Topics","765
001","","7","4.000","100.0",".",".",".","","",".","",".","",".",".","",".","",".",".","",".","",".",".",".","."
"INFO SYS
234","Dept. Total","","58","3.930","86.2","10.3","1.7","",".","",".","",".","",".","",".","",".",".","",".","",".","1.7",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","2","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","","","20","3.921","80.0","15.0",".","",".","",".","",".","",".","",".","",".",".","",".","",".","5.0",".",".","."
"Senior","","","28","3.911","85.7","10.7","3.6","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","50","3.918","84.0","12.0","2.0","",".","",".","",".","",".","",".","",".",".","",".","",".","2.0",".",".","."
"Special","","","1","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","","7","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","58","3.930","86.2","10.3","1.7","",".","",".","",".","",".","",".","",".",".","",".","",".","1.7",".",".","."
