"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","300
005","26","3.827","69.2","26.9","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","27","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
007","27","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","26","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","27","3.685","48.1","48.1",".",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","012
300","26","3.865","80.8","11.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
300","23","3.696","52.2","39.1","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","300
014","25","3.780","60.0","36.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
015","26","3.885","80.8","15.4","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
016","26","3.808","73.1","19.2","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","017
300","27","3.796","59.3","40.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
018","22","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","019
300","23","3.587","47.8","34.8","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","436","3.782","65.1","29.8","3.2","0.9","0.7",".","0.2",".",".",".",".",".",".",".",".","."
"Business Law","301
001","500","3.036","12.8","18.4","43.8","14.4","9.0","0.8","0.2","0.2","0.2",".",".",".","0.2",".",".","."
"","302
001","40","3.538","45.0","27.5","17.5","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
302","39","3.462","33.3","28.2","35.9","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","79","3.500","39.2","27.8","26.6","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Acctg&Finance - Non-Bus Majors","310
010","341","3.195","15.2","35.2","33.4","9.7","2.6","0.9","1.5","1.2",".",".",".",".",".",".","0.3","."
"Mgmt & Mrktg Non-Bus Majors","311
001","127","3.701","60.6","25.2","9.4","3.1","1.6",".",".",".",".",".",".",".",".",".",".","."
"Intercultural Communctn in Bus","320
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","061
365","83","3.018","15.7","25.3","27.7","14.5","14.5","2.4",".",".",".",".",".",".",".",".",".","."
"","365
062","84","2.899","8.3","26.2","26.2","17.9","20.2","1.2",".",".",".",".",".",".",".",".",".","."
"","064
365","77","2.909","10.4","18.2","31.2","23.4","16.9",".",".",".",".",".",".",".",".",".",".","."
"","065
365","83","2.916","9.6","27.7","25.3","15.7","19.3","2.4",".",".",".",".",".",".",".",".",".","."
"","066
365","83","3.187","21.7","22.9","32.5","16.9","6.0",".",".",".",".",".",".",".",".",".",".","."
"","365
067","84","3.155","20.2","27.4","25.0","17.9","9.5",".",".",".",".",".",".",".",".",".",".","."
"","070
365","115","3.309","10.4","41.7","47.0","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"","365
071","99","3.343","10.1","50.5","38.4",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"","080
365","30","3.600","70.0","13.3","6.7",".","6.7",".","3.3",".",".",".",".",".",".",".",".","."
"","081
365","30","3.800","70.0","23.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","082
365","30","3.776","66.7","20.0","6.7","3.3",".",".",".",".",".",".",".",".","3.3",".",".","."
"","083
365","30","3.817","76.7","13.3","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","865","3.231","24.3","28.3","27.5","10.5","8.6","0.6","0.1",".",".",".",".",".","0.1",".",".","."
"Prof Experience in Business","450
001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prof Exp Bus-Extended Intrnshp","451
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","704
001","49","3.541","28.6","51.0","20.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
002","50","3.590","36.0","46.0","18.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data to Decisions","Course Total","99","3.566","32.3","48.5","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethics, Integrity and Society","710
001","98","3.709","44.9","52.0","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","750
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Contemporary Topics","765
031","43","3.860","72.1","27.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
