"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","224
001","92","3.315","22.8","34.8","32.6","4.3","4.3","1.1",".",".",".",".",".",".",".",".",".","."
"","224
002","72","3.215","29.2","33.3","18.1","6.9","5.6","5.6","1.4",".",".",".",".",".",".",".",".","."
"","224
003","85","2.835","14.1","12.9","34.1","15.3","18.8","3.5","1.2",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","249","3.122","21.7","26.9","28.9","8.8","9.6","3.2","0.8",".",".",".",".",".",".",".",".","."
"","301
001","122","3.227","36.9","13.9","26.2","13.1","5.7","0.8","2.5",".",".",".",".",".",".",".",".","0.8"
"","002
301","136","3.551","52.9","25.7","14.0","2.2","1.5","2.9","0.7",".",".",".",".",".",".",".",".","."
"","003
301","126","3.284","35.7","27.8","14.3","9.5","7.9","3.2","0.8","0.8",".",".",".",".",".",".",".","."
"","005
301","85","3.304","35.3","30.6","14.1","5.9","8.2","4.7",".",".",".",".",".",".","1.2",".",".","."
"Intro-Statistical Methods","Course Total","469","3.351","40.9","24.1","17.3","7.7","5.5","2.8","1.1","0.2",".",".",".",".","0.2",".",".","0.2"
"Acc Intro to Stat Meth","302
001","44","3.216","43.2","11.4","15.9","13.6","11.4","4.5",".",".",".",".",".",".",".",".",".","."
"","309
001","25","3.420","44.0","24.0","16.0","4.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"","309
002","30","3.200","23.3","30.0","26.7","10.0","6.7","3.3",".",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat I","Course Total","55","3.300","32.7","27.3","21.8","7.3","9.1","1.8",".",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat II","310
002","43","3.298","34.9","25.6","7.0","23.3","7.0",".",".",".",".",".",".",".","2.3",".",".","."
"","311
001","60","3.200","45.0","8.3","28.3","1.7","10.0","1.7","5.0",".",".",".",".",".",".",".",".","."
"","002
311","59","3.212","35.6","6.8","40.7","1.7","13.6","1.7",".",".",".",".",".",".",".",".",".","."
"","003
311","59","3.237","32.2","18.6","32.2","8.5","5.1","1.7","1.7",".",".",".",".",".",".",".",".","."
"Intro Math Sat (Theo, Meth) I","Course Total","178","3.216","37.6","11.2","33.7","3.9","9.6","1.7","2.2",".",".",".",".",".",".",".",".","."
"","312
001","42","2.893","19.0","9.5","35.7","21.4","4.8","9.5",".",".",".",".",".",".",".",".",".","."
"","312
002","39","3.436","30.8","33.3","30.8","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"Intro Math Stat (Theo,Meth) II","Course Total","81","3.154","24.7","21.0","33.3","12.3","3.7","4.9",".",".",".",".",".",".",".",".",".","."
"","324
001","51","3.510","35.3","37.3","23.5","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","324
002","70","3.493","44.3","34.3","10.0","4.3","4.3","2.9",".",".",".",".",".",".",".",".",".","."
"","324
003","48","2.936","14.6","8.3","45.8","12.5","14.6","2.1",".",".",".",".",".",".",".",".",".","2.1"
"Intro Applied Stats for Engrs","Course Total","169","3.342","33.1","27.8","24.3","5.9","6.5","1.8",".",".",".",".",".",".",".",".",".","0.6"
"","327
001","43","3.942","88.4","11.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
327","43","3.930","88.4","9.3","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
327","44","3.898","86.4","9.1","2.3","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
327","37","3.529","48.6","27.0","5.4","2.7","10.8",".",".","5.4",".",".",".",".",".",".",".","."
"","005
327","29","3.655","58.6","20.7","17.2",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","327
006","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","327
007","38","3.865","81.6","10.5","2.6",".","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"","008
327","22","3.841","72.7","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","327
009","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Learning a Stat Lang","Course Total","290","3.840","78.6","13.8","3.8","0.7","2.1",".",".","1.0",".",".",".",".",".",".",".","."
"Applied Regression Analysis","333
001","32","3.371","25.0","28.1","40.6",".","3.1",".",".","3.1",".",".",".",".",".",".",".","."
"","371
001","130","3.256","35.4","18.5","24.6","13.8","3.1","2.3","1.5","0.8",".",".",".",".",".",".",".","."
"","371
002","129","3.112","30.2","17.1","23.3","11.6","14.0","3.9",".",".",".",".",".",".",".",".",".","."
"","003
371","129","3.233","24.0","39.5","15.5","14.7","1.6","2.3","2.3",".",".",".",".",".",".",".",".","."
"","371
005","140","3.357","42.1","15.0","20.0","17.9","5.0",".",".",".",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","528","3.242","33.1","22.3","20.8","14.6","5.9","2.1","0.9","0.2",".",".",".",".",".",".",".","."
"Appl Categorical Data Anal","001
421","36","3.319","41.7","13.9","19.4","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","424
001","39","3.447","30.8","33.3","28.2","2.6","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"","424
002","26","3.154","30.8","26.9","11.5","3.8","26.9",".",".",".",".",".",".",".",".",".",".","."
