"CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","",""
"669","009","","26","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"669","010","","25","3.680","72.0","16.0","8.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"669","011","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics:Constructn Engr&Mgmt","Course Total","","122","3.739","71.3","21.3","4.9",".",".",".","1.6",".",".",".",".",".","0.8",".",".","."
"679
Topic-Transprtatn&City Plan","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"694
Mgmt-Civil Infrastruct Sys","001","","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","063","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".",".","."
"699","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","61","4.000","95.1",".",".",".",".",".",".",".",".",".",".","1.6","3.3",".",".","."
"702
Grad Cooperative Educ Program","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"704
Env Chemical Kinetics","001","","9","3.688","44.4","33.3","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"716
Stat Modlng-Hydrolog Systms","001","","14","3.923","85.7",".","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"717
Water Res Mgt Pract Plan Smr I","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"721
Bio Principles of Env Eng","003","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"749
Spec Topics-Structural Engr","001","","15","3.200","13.3","40.0","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","058","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","059","","6","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"790","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","064","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","076","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","35","",".",".",".",".",".",".",".","62.9",".",".",".","34.3","2.9",".",".","."
"890","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
