"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","387","2.930","12.4","16.5","37.2","18.6","12.4","2.6","0.3",".",".",".",".",".",".",".",".","."
"132","002","","399","2.850","12.3","16.0","30.3","19.0","16.8","4.0","0.3",".",".",".",".",".","1.3",".",".","."
"132","003","","136","2.974","19.1","16.9","29.4","14.7","16.2","2.2","0.7","0.7",".",".",".",".",".",".",".","."
"Nutrition Today","Course Total","","922","2.902","13.3","16.4","33.1","18.2","14.9","3.1","0.3","0.1",".",".",".",".","0.5",".",".","."
"200
Prof-Dietetics & Nutrition","001","","32","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"203
Introduction to Global Health","001","","338","3.749","65.4","21.6","10.9","0.6","0.6",".","0.3",".",".",".",".",".","0.3",".","0.3","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","069","","41","4.000","97.6",".",".",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"Independent Study","Course Total","","49","3.946","93.9","2.0","2.0",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"332
Human Nutritional Needs","001","","71","3.211","23.9","33.8","19.7","14.1","5.6","1.4","1.4",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"421","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"421","002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Health Field Experience","Course Total","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"500
Undergrad Capstone Seminar Lab","001","","33","3.879","87.9",".","12.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","40","3.075","12.5","30.0","27.5","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"520
Applications-Clin Nutrition","001","","18","3.556","50.0","11.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"600
Intro Seminar in Nutrition","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"626
Experimental Diet Design","001","","13","3.462","30.8","30.8","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"631
Clinical Nutrition","001","","61","3.164","19.7","32.8","29.5","6.6","6.6","4.9",".",".",".",".",".",".",".",".",".","."
"650
Adv Clin Nutr: Crit Care Nutr","001","","20","3.675","40.0","55.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"670
Nutr & Dietetics Practicum I","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691
Senior Thesis-Nutrition","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Nutri Sciences Tchg","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","002","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Smr-Nutr&Metabolism (Adv)","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","18","4.000","5.6",".",".",".",".",".",".","94.4",".",".",".",".",".",".",".","."
"991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","","","Page 38 of 421"
