"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"M S & E","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","92","3.331","31.5","37.0","17.4","6.5","3.3","3.3","1.1",".","",".",".","",".",".",".",".",".","."
"Junior","","215","3.436","34.0","33.5","23.7","7.0","1.4",".",".",".","",".",".","",".",".","0.5",".",".","."
"Senior","","338","3.388","41.1","25.7","20.1","6.8","4.7","0.3","0.3","0.6","",".",".","",".",".",".",".","0.3","."
"Undergraduates","","650","3.399","37.5","30.0","20.8","6.8","3.4","0.6","0.3","0.3","",".",".","",".",".","0.2",".","0.2","."
"Special","","8","2.977","25.0","37.5","12.5",".","12.5","12.5",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","219","3.756","39.7","11.0","6.4",".",".",".",".","27.4","",".","6.4","",".","9.1",".",".",".","."
"","Dept. Total","877","3.450","38.0","25.3","17.1","5.0","2.6","0.6","0.2","7.1","",".","1.6","",".","2.3","0.1",".","0.1","."
