"REAL ESTATE & URBAN LAND E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","","181","3.075","20.4","24.9","28.7","9.9","12.2","3.3","0.6",".",".",".",".",".",".",".",".","."
"Real Estate Law","312
001","","51","3.216","25.5","13.7","43.1","13.7","3.9",".",".",".",".",".",".",".",".",".",".","."
"","365
001","","14","3.357","35.7","21.4","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","","42","3.869","73.8","26.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","60","3.661","66.7","23.3","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","410
001","","46","3.356","37.0","30.4","17.4","4.3","4.3","2.2","2.2",".","2.2",".",".",".",".",".",".","."
"","002
410","","39","3.231","33.3","28.2","20.5","2.6","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","","85","3.298","35.3","29.4","18.8","3.5","5.9","4.7","1.2",".","1.2",".",".",".",".",".",".","."
"Valuation of Real Estate","415
001","","47","3.283","27.7","21.3","34.0","8.5","6.4",".",".","2.1",".",".",".",".",".",".",".","."
"","420
001","","25","3.500","40.0","32.0","20.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","002
420","","24","3.667","45.8","41.7","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","","49","3.582","42.9","36.7","16.3","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"International Real Estate","430
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","","25","3.680","52.0","32.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","710
001","","14","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","712
001","","18","3.344","27.8","16.7","38.9",".","5.6",".",".","11.1",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","","22","3.682","59.1","18.2","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","720
001","","30","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Equity Investmt","740
001","","15","3.567","40.0","33.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750
001","","27","3.389","33.3","22.2","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","47","3.922","89.4","10.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","799
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
