"MEDICAL MICROBIOL & IMMUN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","",""
"301
Pathogenic Bacteriology","001","","39","2.872","15.4","15.4","28.2","20.5","15.4","5.1",".",".",".",".",".",".",".",".",".","."
"341
Immunology","001","","180","3.856","80.6","16.1","1.1","0.6","0.6","1.1",".",".",".",".",".",".",".",".",".","."
"528
Immunology","001","","52","3.206","36.5","7.7","34.6","1.9","15.4","1.9",".","1.9",".",".",".",".",".",".",".","."
"554
Infect Diseases & Bioterrorism","001","","34","3.838","79.4","8.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"677","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"677","003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Medicl Microbiol","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"696
Critical Thinking in M M & I","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"704
Infect Disease-Human Beings","001","","46","3.413","28.3","30.4","37.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"740
Mech Microbial Pathogenesis","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"810
Current Issues in Microbiology","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Seminar","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","33","",".",".",".",".",".",".",".","48.5",".",".",".","51.5",".",".",".","."
