"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"","800
201","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
800","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","203
800","12","3.625","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
800","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Field Prac/Integrat Smr III","Course Total","177","3.945","84.2","9.6","0.6",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","835
001","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","835
002","18","3.889","88.9","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","835
010","14","3.607","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","835
011","12","3.625","50.0","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","835
020","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","021
835","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Soc Work Pract-Mental Hlth","Course Total","81","3.788","64.2","25.9","7.4","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","836
010","29","3.931","89.7","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","836
020","18","3.278","11.1","38.9","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Mental Hlth Policies&Services","Course Total","47","3.681","59.6","19.1","19.1","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","23","3.826","73.9","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","26","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","49","3.878","79.6","16.3","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","869
001","14","3.953","85.7","7.1",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","870
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","020
870","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessing and Treating Adults","Course Total","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prac-Hlth, Aging, Disablty","874
001","27","3.926","85.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth, Aging, Disably Pol&Serv","875
001","26","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prevention Science","880
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
001","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","920
010","25","3.660","32.0","68.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","920
020","8","2.813","25.0","25.0",".","37.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"Chld, Youth, Fam Pol&Services","Course Total","46","3.576","45.7","43.5","2.2","6.5",".",".","2.2",".",".",".",".",".",".",".",".","."
"Child Welfare","921
001","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Faculty Research Seminar","946
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Proseminar","950
001","10","3.889","70.0","20.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"PhD Proseminar","952
001","12","3.708","66.7","25.0",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","990
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","7","",".",".",".",".",".",".",".","57.1",".",".",".","42.9",".",".",".","."
"","999
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","Page 316 of 421",""
