"FOREST AND WILDLIFE ECOLO","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","","",""
"Orientation to Wildlfe Ecology","101","001","","34","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","248","001","","11","3.455","45.5","27.3","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","12","3.870","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diseases of Trees and Shrubs","309","001","","16","3.000","12.5","25.0","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"Principles-Wildlife Ecology","318","001","","37","3.027","13.5","32.4","27.0","16.2","5.4","2.7","2.7",".",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","","83","3.428","32.5","33.7","24.1","6.0","3.6",".",".",".",".",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","375","003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375","004","","20","3.025","25.0","20.0","5.0","35.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","375","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","32","3.378","53.1","12.5","3.1","21.9","9.4",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Physiologicl Animal Ecology","401","001","","42","3.163","21.4","21.4","28.6","14.3","9.5",".",".",".",".",".",".",".","4.8",".",".","."
"Dendrology","402","001","","15","3.467","46.7","13.3","33.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Tree Physiology","415","001","","15","3.750","66.7","6.7","20.0",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"The Vegetation of Wisconsin","455","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"General Ecology","460","001","","12","3.125","8.3","25.0","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Insects in Forest Ecol & Mgmt","500","001","","30","2.883","23.3",".","33.3","23.3","16.7","3.3",".",".",".",".",".",".",".",".",".","."
"Diseases of Wildlife","548","001","","64","3.206","28.1","20.3","31.3","7.8","9.4",".","1.6",".",".",".",".",".","1.6",".",".","."
"","550","001","","24","3.313","33.3","8.3","50.0","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","550","002","","23","3.522","47.8","13.0","34.8","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Forest Ecology","","Course Total","","47","3.415","40.4","10.6","42.6","4.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"Forest Ecology Lab","551","001","","20","3.775","75.0","15.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Wildlife Management Tech","561","001","","30","3.450","33.3","33.3","26.7","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"","571","001","","12","3.125","16.7","16.7","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","571","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","","Course Total","","17","3.176","23.5","11.8","41.2","23.5",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Resource Mgmt","590","001","","16","3.813","81.3",".","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ecotox: The Chemical Players","632","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ecotox: Impacts on Individuals","633","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Conservation Biology","651","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Climate Change Ecology","660","001","","20","3.675","50.0","35.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675","003","","18","3.528","61.1","11.1","11.1","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
