"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"PHM SCI","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","101","3.445","38.6","33.7","16.8","5.9","4.0",".","1.0",".","",".",".","",".",".",".",".",".","."
"Senior","176","3.554","45.5","27.8","21.0","2.3","2.8",".",".",".","",".",".","",".",".","0.6",".",".","."
"Undergraduates","278","3.515","43.2","29.9","19.4","3.6","3.2",".","0.4",".","",".",".","",".",".","0.4",".",".","."
"Special","5","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","159","3.738","31.4","5.7","2.5",".",".","0.6",".","23.9","",".","30.8","",".","3.8","1.3",".",".","."
"Prof Yr 1","300","3.546","48.3","22.7","20.0","8.0","1.0",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","386","3.520","53.4","16.3","21.5","6.0","2.6",".",".",".","",".",".","",".",".",".",".","0.3","."
"Prof Yr 3","142","3.663","50.7","35.9","12.7","0.7",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","828","3.551","51.1","22.0","19.4","5.8","1.6",".",".",".","",".",".","",".",".",".",".","0.1","."
