"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
001","19","3.676","47.4","26.3","15.8",".",".",".",".","5.3",".",".",".",".",".",".","5.3","."
"","101
003","17","3.647","47.1","35.3","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","23","3.630","39.1","47.8","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
101","18","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
009","24","3.479","25.0","50.0","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","010
101","23","3.391","39.1","26.1","17.4","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","011
101","22","3.273","22.7","27.3","36.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","101
012","20","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester French","Course Total","166","3.552","41.0","33.7","19.3","3.0","1.8",".",".","0.6",".",".",".",".",".",".","0.6","."
"","102
001","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","20","2.950","10.0","30.0","15.0","30.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","102
004","22","3.705","54.5","31.8","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
102","15","3.269","20.0","40.0","13.3","6.7",".","6.7",".","6.7",".",".",".",".","6.7",".",".","."
"","009
102","16","3.100",".","43.8","31.3","12.5","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","81","3.321","25.9","35.8","17.3","11.1","4.9","1.2",".","2.5",".",".",".",".","1.2",".",".","."
"Frnch 4 Spkrs of Othr Romc Lng","201
001","17","3.471","35.3","41.2","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","203
001","22","3.386","40.9","36.4","9.1","4.5","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","002
203","14","2.893","7.1","21.4","42.9","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","003
203","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
004","21","3.262","9.5","52.4","23.8","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","203
006","19","3.237","26.3","15.8","42.1","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","203
007","19","3.368","21.1","42.1","31.6",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","203
008","22","3.568","40.9","40.9","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","010
203","18","3.063","16.7","44.4","16.7",".",".",".","11.1","11.1",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","150","3.331","28.0","36.7","22.0","6.0","3.3","0.7","2.0","1.3",".",".",".",".",".",".",".","."
"","204
002","22","3.524","31.8","40.9","18.2","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"","003
204","15","3.367","20.0","46.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
204","11","3.409","9.1","63.6","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
006","18","3.206","11.1","38.9","27.8","11.1","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","204
008","8","3.375","25.0","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","74","3.382","20.3","44.6","23.0","8.1","1.4",".",".","2.7",".",".",".",".",".",".",".","."
"","227
001","24","3.729","54.2","37.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","227
002","22","3.727","50.0","45.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","227
003","25","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Exploring French:Intermed Crse","Course Total","71","3.648","40.8","47.9","11.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
001","24","3.211","33.3","25.0","16.7","4.2","8.3","8.3",".","4.2",".",".",".",".",".",".",".","."
"","002
228","27","3.231","11.1","51.9","22.2","11.1",".","3.7",".",".",".",".",".",".",".",".",".","."
"","228
003","25","3.305","32.0","24.0","20.0","16.0","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","76","3.249","25.0","34.2","19.7","10.5","3.9","3.9",".","2.6",".",".",".",".",".",".",".","."
"","001
271","19","3.806","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","21","3.761","57.1","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".",".","4.8"
"","271
004","17","3.435","41.2","41.2","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"","271
005","21","3.848","76.2","9.5","4.8","4.8",".",".",".",".",".",".",".",".","4.8",".",".","."
"Intro to Literary Analysis","Course Total","78","3.726","60.3","26.9","6.4","2.6",".",".","1.3",".",".",".",".",".","1.3",".",".","1.3"
"Practical French Converstn","301
001","18","4.000","94.4",".",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","Page 224 of 421",""
