"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"","100","051","12","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","052","12","3.333","8.3","58.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100","053","12","3.136","8.3","25.0","41.7","16.7",".",".",".",".",".",".",".",".","8.3",".",".","."
"","100","054","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","055","10","3.150",".","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100","056","13","3.154",".","61.5","15.4","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100","057","13","3.077",".","30.8","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","100","058","12","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","059","13","3.462","23.1","46.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","060","11","3.273","9.1","36.4","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","061","13","3.154","7.7","23.1","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100","062","13","3.423","23.1","46.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100","063","11","3.273","9.1","45.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","","Course Total","728","3.358","18.0","47.9","25.3","6.0","1.4","0.5","0.3",".",".",".",".",".","0.5",".",".","."
"Intro-Digital Media Production","155","001","146","3.654","49.3","38.4","10.3","0.7","0.7",".","0.7",".",".",".",".",".",".",".",".","."
"Elements of Speech-Honors","181","001","13","3.154",".","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Communication","200","001","121","2.954","16.5","23.1","24.0","19.0","11.6","3.3","1.7",".",".",".",".",".","0.8",".",".","."
"Survey of Contemporary Media","250","001","230","2.906","5.2","22.6","39.6","18.7","11.3",".","1.7",".",".",".",".",".","0.9",".",".","."
"Communication & Human Behav","260","001","231","3.033","3.9","27.3","48.1","15.6","3.0","0.4","0.9",".",".",".",".",".",".","0.9",".","."
"Thry&Pract-Argument&Debate","262","001","101","3.435","32.7","37.6","20.8","5.0","1.0","1.0","1.0",".",".",".",".",".","1.0",".",".","."
"Thry&Pract-Group Discussion","266","001","52","2.837","13.5","15.4","40.4","5.8","17.3","5.8","1.9",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272","001","146","3.055","14.4","28.8","33.6","12.3","5.5","4.8","0.7",".",".",".",".",".",".",".",".","."
"Mass Media & Human Behavior","325","001","144","2.901","16.7","10.4","38.2","16.0","11.8","2.8","2.1",".",".",".",".",".","0.7","1.4",".","."
"Critical Internet Studies","346","001","95","3.389","17.9","50.5","25.3","4.2","2.1",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Film","350","001","172","2.911","9.3","27.3","30.8","15.7","8.7","4.1","2.3","1.2",".",".",".",".",".","0.6",".","."
"Television Industries","351","001","172","2.976","9.9","23.8","35.5","16.9","5.2","1.7","2.3","0.6",".",".",".",".","2.9","1.2",".","."
"Film History to 1960","352","001","28","3.288","32.1","17.9","25.0","7.1","10.7",".",".","7.1",".",".",".",".",".",".",".","."
"Film Styles and Genres","354","001","37","3.338","27.0","35.1","24.3","5.4","8.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Media Production","355","001","130","3.227","14.6","41.5","30.0","10.0","1.5","0.8","1.5",".",".",".",".",".",".",".",".","."
"History of Documentary Film","358","001","24","3.326","29.2","20.8","33.3","8.3","4.2",".",".",".",".",".",".",".","4.2",".",".","."
"Rhetoric, Politics, Culture","360","001","76","3.123","11.8","39.5","23.7","13.2","3.9","2.6","1.3",".",".",".",".",".",".","1.3","2.6","."
"Thry&Practice of Persuasion","368","001","113","2.902","20.4","19.5","22.1","15.9","14.2","3.5","3.5","0.9",".",".",".",".",".",".",".","."
"Rhetoric-Campaign&Revolutn","372","001","189","3.064","11.1","37.0","23.3","14.8","10.6","2.6",".",".",".",".",".",".",".","0.5",".","."
"Psychology of Communication","402","001","23","3.071","13.0","30.4","26.1","8.7","8.7","4.3",".",".",".",".",".",".","4.3","4.3",".","."
"French Film","455","001","19","3.556","42.1","26.3","21.1","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"American Independent Cinema","462","001","16","3.433","18.8","43.8","31.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","465","001","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465","002","15","3.500","46.7","46.7",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","","Course Total","30","3.583","46.7","43.3","6.7",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"","467","001","14","3.500","35.7","35.7","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","467","002","15","3.433","33.3","20.0","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","","Course Total","29","3.466","34.5","27.6","34.5","3.4",".",".",".",".",".",".",".",".",".",".",".","."
