"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"101
Intro to Animal Sciences","001","","25","3.340","20.0","40.0","32.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"233
Dairy Herd Management I","001","","31","3.694","67.7","12.9","12.9","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"299","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"305
Lactation Physiology","001","","29","2.948","24.1","17.2","24.1","6.9","20.7","6.9",".",".",".",".",".",".",".",".",".","."
"375","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","024","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","21","3.986","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"414
Ruminant Nutrition","001","","20","2.925","20.0","15.0","30.0","20.0","5.0","10.0",".",".",".",".",".",".",".",".",".","."
"434
Reproductive Physiology","001","","13","3.154","23.1",".","61.5","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"690
Proseminar","001","","16","3.533","12.5","75.0","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","13","3.952","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Dairy Science Tchng","Course Total","","5","***","","","","","","","","","","","","","","","",""
"875","002","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","14","3.627","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","","","Page 17 of 421"
