"BIOLOGY CORE CURRICULUM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","",""
"Evolution,Ecology,&Genetics","381
001","","111","3.065","22.5","18.0","33.3",".","22.5",".","0.9","1.8",".",".",".",".","0.9",".",".","."
"","382
001","","20","3.125","15.0","5.0","70.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","382
002","","20","3.125","15.0","5.0","75.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","003
382","","22","3.068","13.6",".","77.3","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","382
004","","14","3.071","21.4","14.3","57.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","382
005","","19","3.342","26.3","21.1","47.4","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Evol,Ecol,&Genetics Lab","Course Total","","95","3.147","17.9","8.4","66.3","4.2","2.1",".","1.1",".",".",".",".",".",".",".",".","."
"Organismal Biology","485
001","","88","2.994","25.0","11.4","29.5","10.2","19.3","3.4",".",".",".",".",".",".","1.1",".",".","."
"","486
001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
486","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
486","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organismal Biology Lab","Course Total","","36","3.861","75.0","22.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"BIOCORE
206","Dept. Total","","358","3.157","33.2","12.8","35.5","3.6","12.3","0.8","0.6","0.6",".",".",".",".","0.6",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","70","2.837","5.7","10.0","58.6","2.9","22.9",".",".",".",".",".",".",".",".",".",".","."
"Junior","","","175","3.161","29.7","13.1","40.0","2.9","10.9","0.6","1.1","0.6",".",".",".",".","1.1",".",".","."
"Senior","","","112","3.363","56.3","14.3","14.3","5.4","8.0","1.8",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","","357","3.157","33.3","12.9","35.6","3.6","12.3","0.8","0.6","0.3",".",".",".",".","0.6",".",".","."
"Special","","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","","358","3.157","33.2","12.8","35.5","3.6","12.3","0.8","0.6","0.6",".",".",".",".","0.6",".",".","."
