"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","125
003","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
004","14","3.786","78.6","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","005
125","16","3.563","43.8","37.5","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","006
125","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
007","18","3.824","61.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","5.6","."
"","125
008","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
009","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
010","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
011","18","3.694","72.2","5.6","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","012
125","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
014","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
125","19","3.816","84.2","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","125
016","20","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
017","13","3.769","76.9","15.4",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","018
125","19","3.789","78.9","10.5","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","125
019","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
020","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"A Wisconsin Experience Seminar","Course Total","328","3.853","80.8","11.9","4.6","1.5","0.9",".",".",".",".",".",".",".",".",".","0.3","."
"Coming to Terms-Cultrl Divrsty","225
001","24","3.761","83.3","4.2","4.2",".",".",".","4.2",".",".",".",".",".","4.2",".",".","."
"Smr:Stdts Seekng Educ Equ&Div","325
001","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
005","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
011","27","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Cnslg & Guidnce","Course Total","44","3.948","88.6","9.1",".",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"Theory & Prac-Interviewing","650
001","81","3.825","74.1","18.5","3.7","1.2","1.2",".",".","1.2",".",".",".",".",".",".",".","."
"Independent Reading","699
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","788
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fndtns Clin Mental Hlth Counsl","791
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theories of Counseling","800
001","12","3.583","75.0","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Assessment and Testing","801
002","24","3.957","87.5","8.3",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Helping Relations & Techniques","805
001","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling II","807
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Master Intrshp-Cnslg & Guid","810
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cnsl Psy Practicum-Foundation","900
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Couns Psych Practicum","901
003","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Cnsl Psy Practicum-Advanced","903
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Counseling Psych Externship","904
001","8","",".",".",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".","."
"Rsch Pract in Counseling Psych","905
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Smr-Counseling Psychology","925
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Indiv Intervention","951
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","","Page 83 of 421"
