"","EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","","",""
"","150","001","","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150","002","","18","3.444","22.2","55.6","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","150","003","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education and Public Policy","","Course Total","","54","3.759","63.0","29.6","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","300","001","","35","3.886","80.0","17.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","002","","26","3.962","96.2",".","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"School and Society","","Course Total","","61","3.918","86.9","9.8","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Globalization and Education","335","001","","27","3.519","37.0","37.0","18.5","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Comparative Education","340","001","","20","3.600","45.0","35.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","399","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"History-American Education","412","001","","80","3.682","55.0","27.5","8.8","3.8","1.3",".",".",".",".",".",".",".","2.5",".","1.3","."
"Topics on Soc Issues and Ed","500","001","","24","3.438","20.8","45.8","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban School Policy","510","001","","22","3.425","40.9","18.2","22.7","4.5",".","4.5",".",".",".",".",".",".","9.1",".",".","."
"Anthropology and Education","570","001","","24","3.854","75.0","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems in Educ Pol","600","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Education","648","001","","27","3.852","77.8","14.8","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Ed Policy Studies","701","001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro to Qualitative Research","719","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Educ Policy Analysis","765","001","","9","3.667","66.7","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","780","001","","18","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","780","002","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","780","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Educ Policy","","Course Total","","39","3.782","66.7","23.1","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","788","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Finance","830","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues-Elementary Education","855","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Theories-Soc & Ed Change","870","001","","10","3.778","50.0","40.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Prosem-History of Education","906","001","","10","3.942","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","","7","",".",".",".",".",".",".",".","71.4",".",".",".",".","28.6",".",".","."
"","990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","","","","Page 93 of 421"
