"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","28","2.900",".","32.1","28.6","21.4","3.6",".","3.6",".",".",".",".",".","10.7",".",".","."
"Black Music&Am Cultrl Hist","156","001","241","3.813","63.9","30.7","2.9",".",".",".",".","1.7",".",".",".",".","0.4",".",".","0.4"
"Intro to Black Women's Studies","221","001","22","3.595","45.5","27.3","18.2","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"Masterpieces of Afro Amer Lit","227","001","90","3.522","41.1","35.6","18.9",".","3.3",".","1.1",".",".",".",".",".",".",".",".","."
"Intro-Africn Art&Architectr","241","001","26","3.580","34.6","42.3","19.2",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","42","3.573","38.1","42.9","11.9","2.4","2.4",".",".",".",".",".",".",".","2.4",".",".","."
"","271","002","25","3.458","28.0","44.0","16.0","4.0","4.0",".",".",".",".",".",".",".","4.0",".",".","."
"","271","003","30","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271","004","92","3.832","68.5","29.3","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271","005","24","3.938","95.8",".",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in African Amer Culture","","Course Total","171","3.800","67.3","26.9","3.5","1.2","0.6",".",".",".",".",".",".",".","0.6",".",".","."
"Race&Am Pol:New Deal-New Right","272","001","42","3.663","57.1","16.7","19.0",".","2.4",".",".","4.8",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","21","3.190","14.3","52.4","14.3","14.3",".",".","4.8",".",".",".",".",".",".",".",".","."
"Blacks, Film, and Society","303","001","31","3.597","45.2","35.5","12.9","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"Bl Mus-Rhythm Sec & Combos","308","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Black Feminisms","333","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Afrcn&Caribbn Drama","413","001","9","3.707","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mutl Perceptns-Racl Minorty","443","001","9","3.111",".","88.9",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Major Authors","525","001","20","3.375","30.0","15.0","25.0","5.0","5.0",".",".",".",".",".",".",".","20.0",".",".","."
"The Harlem Renaissance","602","001","16","2.964","37.5","18.8","6.3",".","12.5",".","12.5",".",".",".",".",".","12.5",".",".","."
"Hist-Civ Rghts Movmnt in US","628","001","27","3.096","11.1","37.0","29.6","11.1","3.7",".","3.7",".",".",".",".",".","3.7",".",".","."
"Visual Cultr, Gender&Race Thry","679","001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
