"ENGLISH AS A SECOND LANGU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","",""
"","110
002","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","110
003","10","",".",".",".",".",".",".",".",".",".","90.0","10.0",".",".",".",".","."
"Intensv English as 2nd Lang","Course Total","17","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"Int. English Language Skills","114
001","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
002","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
003","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","115
004","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
005","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
006","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
007","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Grammar for Academic Use","Course Total","82","",".",".",".",".",".",".",".",".",".","98.8","1.2",".",".",".",".","."
"","116
001","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"","116
002","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
003","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
004","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
005","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
006","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"","116
007","16","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"","116
008","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
009","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
012","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","116
013","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","014
116","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","116
015","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
016","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","116
017","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Acad Reading and Vocab Skills","Course Total","233","",".",".",".",".",".",".",".",".",".","97.0","3.0",".",".",".",".","."
"","117
001","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
002","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
003","16","",".",".",".",".",".",".",".",".",".","81.3","18.8",".",".",".",".","."
"","117
004","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
005","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
006","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
007","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
008","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
009","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
010","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
011","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
012","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
013","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
014","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
015","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
016","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
017","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
018","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
