"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"362
Development of Young Child","001","","233","3.483","45.9","27.9","13.3","6.9","4.7","0.4","0.9",".",".",".",".",".",".",".",".","."
"363
Develp: Adolescence-Old Age","001","","241","3.460","38.6","32.4","15.4","8.7","2.5","1.2",".","1.2",".",".",".",".",".",".",".","."
"425
Rsch Meth in Hum Devel&Fam St","001","","57","3.404","31.6","38.6","17.5","10.5",".",".","1.8",".",".",".",".",".",".",".",".","."
"469
Family&Com Influences-Child","001","","37","3.730","67.6","16.2","10.8","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"471
Parent-Child Relations","001","","37","3.662","78.4","5.4","5.4","2.7","5.4",".","2.7",".",".",".",".",".",".",".",".","."
"474
Racial Ethnic Families in U.S.","001","","34","3.750","73.5","17.6","2.9","2.9",".","2.9",".",".",".",".",".",".",".",".",".","."
"501","004","","39","3.321","35.9","28.2","23.1","5.1","2.6","2.6","2.6",".",".",".",".",".",".",".",".","."
"501","005","","30","3.750","90.0","3.3",".",".",".","3.3","3.3",".",".",".",".",".",".",".",".","."
"501","008","","66","3.515","45.5","25.8","24.2","1.5","1.5",".","1.5",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","135","3.509","52.6","21.5","18.5","2.2","1.5","1.5","2.2",".",".",".",".",".",".",".",".","."
"516
Family Stress and Resilience","001","","48","3.670","56.3","18.8","10.4","4.2","2.1",".",".",".",".",".",".",".","8.3",".",".","."
"517
Couple Relationships","001","","49","3.735","69.4","20.4","2.0","4.1","4.1",".",".",".",".",".",".",".",".",".",".","."
"535
Family Perspctv-Policymakng","001","","41","3.141","24.4","22.0","14.6","24.4","9.8",".",".",".",".",".",".",".","2.4","2.4",".","."
"592","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"592","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"592","035","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"592","039","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"592","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"592","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Experience in HDFS","Course Total","","25","3.982","92.0","4.0",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"601
Internship","001","","33","3.984","93.9","3.0",".",".",".",".",".",".",".",".",".",".",".","3.0",".","."
"616
Mass Media and Youth","003","","46","3.674","65.2","19.6","8.7","2.2","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"650
Parent Educ & Support Programs","001","","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"663
Developmental & Fam Assessment","001","","35","3.897","80.0","14.3","2.9",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"865
Family Theory I (Survey)","001","","12","3.955","83.3","8.3",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"869
Adv Smr-Famly Stress&Coping","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"872
Bridging Gap: Rsch & Action","001","","17","3.647","47.1","35.3","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","15","",".",".",".",".",".",".",".","86.7",".",".",".","13.3",".",".",".","."
"999
Independent Study","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
