"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Freshman Topics Seminar","100","001","17","3.412","52.9","17.6","5.9","5.9","17.6",".",".",".",".",".",".",".",".",".",".","."
"Intro-Internatl Relations","103","001","239","2.948","15.5","18.4","26.8","16.7","16.3","1.3","0.8","2.9",".",".",".",".","1.3",".",".","."
"Intro-Amer Politcs&Governmt","104","001","270","3.004","14.8","15.9","35.6","19.6","8.9","0.7","0.7","3.0",".",".",".",".","0.4","0.4",".","."
"Intro to American Politics","184","001","20","3.175","20.0","20.0","40.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Politics Around World-Honors","186","001","16","3.406","31.3","56.3","6.3",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"Research Methods in Poli Sci","200","001","51","3.304","19.6","35.3","31.4","13.7",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in Poli Sci","201","001","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Political Theory","209","001","170","3.554","49.4","28.2","13.5","2.4","1.2","1.8","1.2","0.6",".",".",".",".","1.2",".","0.6","."
"Understndng Politcl Numbers","218","001","46","3.098","17.4","32.6","21.7","13.0","13.0","2.2",".",".",".",".",".",".",".",".",".","."
"Intro to Public Policy","219","001","46","3.233","17.4","34.8","28.3","10.9","6.5",".",".","2.2",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","24","3.217","25.0","20.8","33.3","12.5",".","4.2",".",".",".",".",".",".","4.2",".",".","."
"Intro East Asian Civilizations","255","001","15","3.300","33.3","33.3","26.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Political Choice and Strategy","274","001","47","3.106","23.4","23.4","21.3","19.1","10.6","2.1",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","35","3.368","20.0","42.9","22.9","11.4",".",".",".",".",".",".",".",".","2.9",".",".","."
"Comparative Study of Genocide","318","001","131","3.156","22.1","29.0","20.6","19.1","6.9","2.3",".",".",".",".",".",".",".",".",".","."
"Terrorism","319","001","54","3.047","25.9","27.8","18.5","7.4","7.4","9.3","1.9","1.9",".",".",".",".",".",".",".","."
"Intl Institutns&World Order","337","001","49","3.459","42.9","26.5","16.3","8.2","6.1",".",".",".",".",".",".",".",".",".",".","."
"China in World Politics","346","001","65","3.415","40.0","33.8","13.8","3.1","4.6","4.6",".",".",".",".",".",".",".",".",".","."
"African Intl Relations","362","001","42","2.890","23.8","14.3","16.7","26.2","7.1","7.1","2.4",".",".",".",".",".",".",".","2.4","."
"Nuclear Weapons&World Poltc","377","001","50","3.135","20.0","30.0","22.0","16.0","4.0","2.0","2.0","4.0",".",".",".",".",".",".",".","."
"","400","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","002","24","3.978","91.7","4.2",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","400","003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","004","15","3.867","93.3",".",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Science","","Course Total","53","3.880","90.6","3.8",".","1.9","1.9",".",".",".",".",".",".",".","1.9",".",".","."
"","401","001","43","3.256","32.6","27.9","18.6","9.3","9.3",".","2.3",".",".",".",".",".",".",".",".","."
"","401","002","40","3.425","42.5","17.5","27.5","7.5","5.0",".",".",".",".",".",".",".",".",".",".","."
"","401","003","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","99","3.404","40.4","25.3","20.2","7.1","6.1",".","1.0",".",".",".",".",".",".",".",".","."
"Constitutional Law","412","001","63","3.425","31.7","30.2","25.4","6.3",".","1.6",".",".",".",".",".",".",".","4.8",".","."
"Supreme Ct as Pol Instit","414","001","45","3.557","48.9","28.9","8.9","4.4","6.7",".",".","2.2",".",".",".",".",".",".",".","."
"Latino History and Politics","422","001","15","3.036","33.3","6.7","6.7","26.7","20.0",".",".","6.7",".",".",".",".",".",".",".","."
"United States Congress","426","001","50","3.370","18.0","50.0","22.0","8.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Legislative Internship","427","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contentious Politics","431","001","28","3.596","50.0","28.6","7.1","3.6",".","3.6",".",".",".",".",".",".","7.1",".",".","."
"Criminal Law and Justice","452","002","95","2.941","26.3","21.1","13.7","13.7","14.7","7.4","2.1","1.1",".",".",".",".",".",".",".","."
"Challenge of Democratizatn","505","001","47","3.065","10.6","31.9","38.3","10.6","2.1",".","4.3",".",".",".",".",".","2.1",".",".","."
"","506","001","19","3.361","31.6","42.1","10.5","5.3",".",".","5.3",".",".",".",".",".","5.3",".",".","."
"","506","002","13","3.385","7.7","69.2","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Philos","","Course Total","32","3.371","21.9","53.1","12.5","6.3",".",".","3.1",".",".",".",".",".","3.1",".",".","."
"","601","001","14","3.500","35.7","42.9","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","601","002","16","3.083","12.5","18.8","12.5","31.3",".",".",".","12.5",".",".",".",".","6.3",".","6.3","."
"January 28, 2016","","","","","","","","","","","","","","","","","","","Page 296 of 421",""
