"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"History of Western Art I","201","001","113","3.495","44.2","25.7","11.5","3.5","2.7",".","2.7","7.1",".",".",".",".","1.8","0.9",".","."
"Global Arts","205","001","88","3.746","50.0","11.4","5.7","1.1",".",".","1.1",".",".",".",".",".","2.3","28.4",".","."
"Intro-Africn Art&Architectr","241","001","17","3.438","29.4","23.5","41.2",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","16","3.500","43.8","18.8","18.8","12.5",".",".",".",".",".",".",".",".","6.3",".",".","."
"Dimensions-Material Culture","264","001","16","3.500","31.3","25.0","12.5",".","6.3",".",".","18.8",".",".",".",".","6.3",".",".","."
"Art&Archaeology-Ancient Greece","300","001","39","3.338","17.9","33.3","28.2","5.1","2.6",".",".","10.3",".",".",".",".","2.6",".",".","."
"History of Islamic Art & Arch.","305","001","26","3.438","26.9","42.3","11.5","7.7","3.8",".",".","3.8",".",".",".",".","3.8",".",".","."
"Italian Renaissance Art","320","001","26","2.735","7.7","7.7","15.4","11.5","23.1",".",".","34.6",".",".",".",".",".",".",".","."
"Netherlandish Painting-15c","331","001","31","3.667","25.8","12.9","9.7",".",".",".",".","51.6",".",".",".",".",".",".",".","."
"Hist American Art 1607-Present","364","001","18","3.278","27.8","5.6","11.1",".",".",".","5.6","44.4",".",".",".",".","5.6",".",".","."
"Survey of Amer Art Since 1945","365","001","55","3.541","21.8","32.7","9.1","3.6",".",".",".","30.9",".",".",".",".","1.8",".",".","."
"Cities of Asia","379","001","21","3.083","4.8","14.3","57.1","9.5",".",".",".","14.3",".",".",".",".",".",".",".","."
"Cities&Sanctuaries-Anc Greece","405","001","11","3.714","45.5",".","18.2",".",".",".",".","27.3",".",".",".",".","9.1",".",".","."
"Topics in Medieval Art","415","001","10","3.300","10.0","20.0","10.0","10.0",".",".",".","10.0",".",".",".",".","20.0",".","20.0","."
"Topics in Visual Culture","430","001","20","3.458","30.0","10.0","10.0","5.0","5.0",".",".","30.0",".",".",".",".","10.0",".",".","."
"Art and Power in Arab World","440","001","12","3.000","16.7","33.3","25.0",".","8.3",".","8.3","8.3",".",".",".",".",".",".",".","."
"Prosem-Ital Renaissance Art","525","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar in African Art","579","001","7","3.667","28.6","57.1",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Intro to Museum Studies II","602","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Books Print Cult Europe No Am","650","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","682","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Practicum in Art History","701","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in American Art History","706","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Medieval Art","715","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Early Modern Art","731","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Dimensions of Material Culture","764","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
