"SURGICAL SCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","",""
"Radiographic Anat-Dog&Cat","501","001","","89","3.625","51.7","25.8","18.0","1.1","2.2",".",".",".",".",".",".",".","1.1",".",".","."
"Diseases of Wildlife","548","001","","13","3.231","38.5","7.7","23.1","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery","630","001","","75","3.616","49.3","26.7","17.3","2.7","1.3",".",".",".",".",".",".",".","2.7",".",".","."
"Small Animal Surgery Lab","632","001","","75","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Animal Anesthesia Lab","634","001","","75","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Diagnostic Imaging","638","001","","75","3.847","74.7","20.0","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","642","001","","41","4.000","12.2",".",".",".",".",".",".","87.8",".",".",".",".",".",".",".","."
"","642","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","","Course Total","","42","4.000","11.9",".",".",".",".",".",".","88.1",".",".",".",".",".",".",".","."
"Small Orthopedic Surgery","644","001","","10","4.000","30.0",".",".",".",".",".",".","70.0",".",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","645","001","","39","4.000","35.9",".",".",".",".",".",".","41.0",".",".",".",".",".",".","23.1","."
"Veterinary Anesthesiology","646","001","","28","4.000","60.7",".",".",".",".",".",".","39.3",".",".",".",".",".",".",".","."
"Radiology Clinics","647","001","","34","4.000","26.5",".",".",".",".",".",".","73.5",".",".",".",".",".",".",".","."
"","675","001","","15","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","675","003","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675","004","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","675","006","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","48","4.000","29.2",".",".",".",".",".",".","70.8",".",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","9","4.000","77.8",".",".",".",".",".",".","11.1",".",".",".",".","11.1",".",".","."
"Clinical Ophthalm Rotation","741","001","","26","4.000","69.2",".",".",".",".",".",".","30.8",".",".",".",".",".",".",".","."
"Adv Anesthlgy/Crit Care Med","743","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Dentistry & Oral Surg Rotation","748","001","","16","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","775","001","","19","",".",".",".",".",".",".",".","78.9",".",".",".",".",".",".","21.1","."
"","775","002","","13","",".",".",".",".",".",".",".","84.6",".",".",".",".",".",".","15.4","."
"","775","003","","6","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".","16.7","."
"","775","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","","Course Total","","39","",".",".",".",".",".",".",".","82.1",".",".",".",".",".",".","17.9","."
"Rsch Ethics&Career Development","812","001","","23","4.000","95.7",".",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
