"","990
021","4","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
023","4","***","","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","49","",".",".",".",".",".",".",".","59.2","",".",".",".","38.8","2.0",".",".","."
"CBE
220","Dept. Total","1154","3.155","28.1","17.9","22.3","9.2","10.1","1.9","0.5","6.4","",".","0.3","0.1","2.8","0.6",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","***","","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","","22","2.523","13.6","9.1","22.7","18.2","18.2","18.2",".",".","",".",".",".",".",".",".",".","."
"Junior","","139","2.956","20.1","15.8","30.2","15.8","13.7","2.2","1.4",".","",".",".",".",".","0.7",".",".","."
"Senior","","730","3.152","30.3","18.6","26.6","10.0","11.6","1.9","0.3",".","",".","0.4","0.1",".","0.1",".",".","."
"Undergraduates","","894","3.106","28.3","18.1","27.0","11.1","12.1","2.3","0.4",".","",".","0.3","0.1",".","0.2",".",".","."
"Special","","26","2.667","19.2","11.5","7.7","19.2","26.9","3.8","3.8","7.7","",".",".",".",".",".",".",".","."
"Graduate","","260","3.628","35.4","15.8","5.4","0.8","0.4",".","0.4","27.7","",".",".",".","12.3","1.9",".",".","."
"","Dept. Total","1180","3.155","29.7","17.5","21.8","9.0","9.8","1.9","0.5","6.3","",".","0.3","0.1","2.7","0.6",".",".","."
