"MED","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICAL MICROBIOL & IMMUN","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","","","","",""
"M M & I
620","Dept. Total","455","3.653","61.1","13.0","11.4","2.6","3.3","1.1","",".","3.7","",".",".","",".","3.7","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","8","3.500","75.0","12.5",".",".",".","12.5","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","58","3.856","74.1","22.4","1.7","1.7",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","237","3.648","67.5","11.0","10.5","3.0","5.9","1.7","",".","0.4","",".",".","",".",".","",".",".",".","."
"Undergraduates","","303","3.686","69.0","13.2","8.6","2.6","4.6","1.7","",".","0.3","",".",".","",".",".","",".",".",".","."
"Special","","10","3.500","50.0","10.0","20.0","10.0","10.0",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","82","3.697","46.3","4.9","8.5","1.2",".",".","",".","19.5","",".",".","",".","19.5","",".",".",".","."
"Prof Yr 1","","55","3.452","41.8","23.6","30.9","3.6",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","5","***","","","","","","","","","","","",".","",".","20.0","",".",".",".","."
"Professionals","","60","3.470","43.3","23.3","28.3","3.3",".",".","",".",".","",".",".","",".","1.7","",".",".",".","."
"","Dept. Total","455","3.653","61.1","13.0","11.4","2.6","3.3","1.1","",".","3.7","",".",".","",".","3.7","",".",".",".","."
