"LATIN (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","",""
"","103
001","","13","3.385","38.5","23.1","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"","103
002","","17","3.067","29.4","17.6","11.8","5.9","17.6","5.9",".","11.8",".",".",".",".",".",".",".","."
"","003
103","","18","2.917","16.7","33.3","11.1","16.7","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"","103
004","","17","3.235","29.4","23.5","23.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"","103
005","","19","3.184","21.1","21.1","31.6","26.3",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Latin","Course Total","","84","3.146","26.2","23.8","19.0","16.7","8.3","3.6",".","2.4",".",".",".",".",".",".",".","."
"","203
001","","11","3.500","54.5","27.3",".",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","002
203","","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Latin","Course Total","","17","3.441","47.1","23.5","11.8","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"Latin Lit of Roman Republic","301
001","","8","3.563","62.5",".","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Latin:Grad Readng Knowldg I","391
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem Prose Composition","505
001","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Roman Satire","523
001","","16","3.750","56.3","25.0",".","6.3",".",".",".",".",".",".",".",".","12.5",".",".","."
"Directed Study","699
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research Thesis","890
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"LATIN
524","Dept. Total","","138","3.289","34.8","24.6","15.9","12.3","6.5","2.2",".","2.2",".",".",".",".","1.4",".",".","."
