"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","","272","2.662","15.1","10.7","22.1","12.9","29.0","9.2",".","1.1",".",".",".",".",".",".",".","."
"Physiol of Human Performance","115
001","","21","3.619","47.6","47.6",".",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"","116
002","","23","3.870","78.3","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116
003","","22","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid & Basic Life Support","Course Total","","45","3.822","66.7","31.1","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Kinesiology","119
001","","93","3.656","60.2","29.0","4.3","3.2","1.1",".","2.2",".",".",".",".",".",".",".",".","."
"Foundations of Physical Educ","121
001","","13","3.731","76.9","7.7",".","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","123
001","","20","3.825","90.0",".",".","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","123
002","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Living well: LIfestyle balance","Course Total","","36","3.875","88.9","5.6",".","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"","125
001","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125
002","","20","4.000","5.0",".",".",".",".",".",".","60.0",".",".",".",".",".",".","35.0","."
"","003
125","","23","4.000","8.7",".",".",".",".",".",".","82.6",".",".",".",".",".",".","8.7","."
"","125
004","","19","4.000","5.3",".",".",".",".",".",".","78.9",".",".",".",".",".",".","15.8","."
"Adapted Fitness&Pers Traing","Course Total","","83","4.000","4.8",".",".",".",".",".",".","80.7",".",".",".",".",".",".","14.5","."
"Intro to Athletic Training","127
001","","48","3.250","25.0","31.3","22.9","14.6","4.2","2.1",".",".",".",".",".",".",".",".",".","."
"","129
001","","21","3.643","52.4","23.8","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","129
002","","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","","37","3.716","56.8","29.7","13.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","134
001","","12","3.292","25.0","25.0","41.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","002
134","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Movement Techs for Stress Mgmt","Course Total","","25","3.600","56.0","16.0","24.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Sci&Pract Resistance Training","140
001","","31","2.983","19.4","16.1","32.3","6.5","19.4","3.2",".","3.2",".",".",".",".",".",".",".","."
"Choosing To Move","145
001","","13","3.846","84.6","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","147
001","","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","147
002","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tai Chi","Course Total","","37","3.946","89.2","10.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277
001","","15","3.357","60.0","13.3","6.7",".",".","6.7","6.7","6.7",".",".",".",".",".",".",".","."
"","300
001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","Course Total","","75","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Tech-Athletic Training","301
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314
001","","43","3.430","27.9","41.9","20.9","7.0","2.3",".",".",".",".",".",".",".",".",".",".","."
"Recog&Eval-Athletc Injuries","317
001","","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics of Human Movement","318
001","","62","3.266","25.8","35.5","17.7","14.5","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"Group Develop & Behav Manage","325
001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research in Kinesiology","001
330","","59","3.593","40.7","39.0","18.6","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350
001","","58","3.707","63.8","20.7","10.3","3.4","1.7",".",".",".",".",".",".",".",".",".",".","."
"PE in a Multicultural Society","353
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc-Cult of Phys Act","355
001","","22","3.841","72.7","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
