"HISTORY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"","283","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","283","002","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","283","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Hon Smr-Study Hist(H)","","Course Total","","13","3.577","38.5","53.8",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"A History of Greek Civ","303","001","","72","3.169","29.2","26.4","20.8","5.6","4.2","5.6","2.8","2.8",".",".",".",".",".",".","2.8","."
"The US Since 1945","306","001","","78","3.313","25.6","25.6","16.7","7.7","5.1",".","1.3","17.9",".",".",".",".",".",".",".","."
"The Vietnam Wars","319","001","","75","3.703","50.7","26.7","4.0",".","4.0",".",".","12.0",".",".",".",".","2.7",".",".","."
"Early Modern France, 1500-1715","320","001","","28","3.063","10.7","21.4","28.6","17.9","7.1",".",".","10.7",".",".",".",".",".","3.6",".","."
"Environmental History: Europe","328","001","","16","2.867","6.3","25.0","18.8","37.5",".","6.3",".",".",".",".",".",".","6.3",".",".","."
"Hist-Modern China,1800-1949","341","001","","50","3.337","24.0","32.0","18.0","10.0",".",".","2.0","14.0",".",".",".",".",".",".",".","."
"Women & Gender in US to 1870","353","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"The Second World War","357","001","","76","3.599","38.2","39.5","13.2","1.3","1.3",".",".","6.6",".",".",".",".",".",".",".","."
"Soc-Shakespeares England","367","001","","26","3.318","19.2","23.1","34.6","7.7",".",".",".","11.5",".",".",".",".",".","3.8",".","."
"Hist-Germany, 1871-Present","410","001","","33","3.259","18.2","39.4","12.1","6.1","12.1",".",".","12.1",".",".",".",".",".",".",".","."
"History-American Education","412","001","","34","3.471","47.1","17.6","20.6","11.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"Latino History and Politics","422","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Soviet Union & World,1917-1991","424","001","","78","3.587","50.0","14.1","5.1","9.0","1.3",".","1.3","19.2",".",".",".",".",".",".",".","."
"US Military History to 1902","427","001","","27","3.370","44.4","11.1","14.8","7.4","3.7",".","3.7",".",".",".",".",".","7.4",".","7.4","."
"Amer Foreign Rel-1901 on","434","001","","22","3.550","40.9","27.3","13.6","9.1",".",".",".","4.5",".",".",".",".","4.5",".",".","."
"Amer Environmental History","460","001","","91","3.515","29.7","19.8","19.8","2.2","1.1",".",".","26.4",".",".",".",".","1.1",".",".","."
"The American West to1850","461","001","","53","3.598","39.6","28.3","15.1","3.8",".",".",".","11.3",".",".",".",".","1.9",".",".","."
"","500","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","500","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","500","003","","12","3.500","50.0","8.3","25.0",".","8.3",".",".",".",".",".",".",".","8.3",".",".","."
"Reading Seminar in History","","Course Total","","16","3.600","56.3","12.5","18.8",".","6.3",".",".",".",".",".",".",".","6.3",".",".","."
"History at Work","505","001","","9","3.647","66.7","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"History Internship Seminar","506","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Health, Disease & Healing I","507","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ideas & Conflict Eur 1600-1815","512","001","","16","3.400","18.8","12.5","31.3",".",".",".",".","25.0",".",".",".",".","12.5",".",".","."
"Multi-Racial Soc:Latin Amer","533","001","","9","3.286","44.4","22.2",".",".",".",".","11.1",".",".",".",".",".","22.2",".",".","."
"Hist of Mass Communication","560","001","","7","3.400","28.6","28.6",".",".","14.3",".",".",".",".",".",".",".","28.6",".",".","."
"Greek & Roman Med & Phcy","561","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","002","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","004","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","005","","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","007","","11","3.222","45.5","9.1","9.1","9.1",".",".","9.1",".",".",".",".",".","18.2",".",".","."
"","600","008","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","009","","14","3.500","28.6","28.6","28.6",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","600","010","","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","600","011","","16","3.313","37.5","18.8","25.0","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","","Course Total","","106","3.688","62.3","17.9","10.4","1.9","1.9",".","0.9",".",".",".",".",".","4.7",".",".","."
"Hist-Civ Rghts Movmnt in US","628","001","","22","3.050","18.2","31.8","27.3","4.5",".",".","9.1","9.1",".",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","","","Page 241 of 421",""
