"","990
078","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
081","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
082","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","41","",".",".",".",".",".",".","",".","87.8","",".",".","",".","12.2",".",".",".","."
"PATH-BIO
703","Dept. Total","962","3.583","38.9","15.3","12.6","2.1","1.6","0.1","",".","27.9","",".",".","",".","0.8","0.4",".","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","19","3.630","78.9","5.3","10.5",".","5.3",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","21","3.440","66.7","4.8","19.0",".","9.5",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","34","3.411","55.9","5.9","29.4","2.9","5.9",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","36","3.577","63.9","8.3","19.4","2.8","5.6",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","110","3.502","64.5","6.4","20.9","1.8","6.4",".","",".",".","",".",".","",".",".",".",".",".","."
"Special","","18","3.333","5.6","5.6",".","5.6",".",".","",".","83.3","",".",".","",".",".",".",".",".","."
"Graduate","","48","3.346","6.3","6.3","6.3",".",".",".","",".","66.7","",".",".","",".","14.6",".",".",".","."
"Prof Yr 2","","648","3.591","41.2","21.0","14.7","2.6","1.2","0.2","",".","18.7","",".",".","",".",".","0.5",".",".","."
"Prof Yr 3","","79","4.000","2.5",".",".",".",".",".","",".","96.2","",".",".","",".",".","1.3",".",".","."
"Prof Yr 4","","59","4.000","50.8",".",".",".",".",".","",".","40.7","",".",".","",".","1.7",".",".","6.8","."
"Professionals","","786","3.602","38.0","17.3","12.1","2.2","1.0","0.1","",".","28.1","",".",".","",".","0.1","0.5",".","0.5","."
"","Dept. Total","962","3.583","38.9","15.3","12.6","2.1","1.6","0.1","",".","27.9","",".",".","",".","0.8","0.4",".","0.4","."
