"ED LEADERSHP & POLICY ANAL Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","",""
"","502
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
002","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502
003","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wkshp-Ed Leadership & Pol Anal","Course Total","37","3.853","86.5","13.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Ed Ldrship","700
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
001","23","3.705","43.5","47.8","4.3",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"","002
701","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Higher & Post-Sec Ed","Course Total","42","3.805","64.3","28.6","4.8",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"Intro-Educational Leadership","702
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Athletics Administration","710
001","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Govern&Admin-Coll&Universty","715
001","20","3.675","50.0","35.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725
002","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","Course Total","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ldrship for Equity & Diversity","735
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Admin Stdt Serv-Higher Educ","736
001","24","3.795","58.3","29.2","4.2",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Issues in Educ Policy Analysis","765
001","6","3.417","33.3","50.0",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Teacher Leadership","780
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","788
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","810
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","810
003","22","3.975","86.4","4.5",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Doctoral Inquiry","Course Total","39","3.986","92.3","2.6",".",".",".",".",".",".",".",".",".",".","5.1",".",".","."
"Intro Quant Inquiry in Educ","001
822","13","3.542","53.8","7.7","23.1",".","7.7",".",".",".",".",".",".",".","7.7",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Finance","830
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School-Level Leadership","845
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The School Superintendency","846
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Instr Leadership&Tchr Capacity","847
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Politics of Education","870
001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acadmc Prgrms-Col&Universty","880
001","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
003","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","940
004","20","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
005","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
007","22","3.762","54.5","36.4","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","940
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
009","8","3.786","50.0","37.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","940
010","26","4.000","88.5",".",".",".",".",".",".",".",".",".",".",".","11.5",".",".","."
"Topics Seminar-Educ Leadership","Course Total","111","3.904","77.5","14.4","1.8",".",".",".",".","0.9",".",".",".",".","5.4",".",".","."
"","990
003","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
032","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","036
990","12","",".",".",".",".",".",".",".","41.7",".",".",".","41.7",".","16.7",".","."
"","990
042","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","Page 91 of 421",""
