"MANAGEMENT AND HUMAN RES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","",""
"722
Entrepreneurial Management","001","","41","3.900","78.0","19.5",".",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"723","030","","46","3.967","93.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"723","031","","43","3.674","41.9","51.2","7.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","","89","3.826","68.5","28.1","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"728
Barg,Negot,Dispute Settlmnt","001","","35","3.853","71.4","22.9","2.9",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"729
Bhv Anal-Mgt Decisn Making","001","","9","3.688","33.3","55.6",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"734
Venture Creation","001","","31","3.968","93.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","001","","17","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"765","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"765","003","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"765","031","","43","3.953","95.3","2.3",".","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","79","3.947","68.4","2.5",".","1.3",".",".",".",".",".",".",".","27.8",".",".",".","."
"773
Seminar-Arts Administration","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","204","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","","4","***","","","","","","","","","","","","","","","",""
"872
Smr-Org Behavior & Design","001","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"975
Doctoral Rsch Smr in Mgmt","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","148","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","","4","***","","","","","","","","","","","","","","","",""
"999
Read&Rsch-Mgmt&H Resrcs PhD","129","","1","***","","","","","","","","","",".",".",".",".",".",".","."
