"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"MEDICINE","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","11","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","25","3.970","96.0",".","4.0",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","59","3.938","91.5","1.7","1.7","1.7",".","",".",".",".","",".",".","",".",".",".",".","3.4","."
"Undergraduates","97","3.955","93.8","1.0","2.1","1.0",".","",".",".",".","",".",".","",".",".",".",".","2.1","."
"Special","3","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","23","4.000","8.7",".",".",".",".","",".",".","65.2","",".",".","",".","13.0",".",".","13.0","."
"Prof Yr 2","7","3.800","28.6","14.3",".",".",".","",".",".","57.1","",".",".","",".",".",".",".",".","."
"Prof Yr 3","72","3.342","18.1","20.8","38.9","1.4",".","",".",".",".","",".",".","",".",".","16.7",".","2.8","1.4"
"Prof Yr 4","211","3.769","66.8","23.2","3.8",".","0.5","",".","1.4","3.8","",".",".","",".","0.5",".",".",".","."
"Professionals","290","3.596","53.8","22.4","12.4","0.3","0.3","",".","1.0","4.1","",".",".","",".","0.3","4.1",".","0.7","0.3"
