"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","153","3.541","44.4","26.1","20.3","3.9","1.3",".","0.7","3.3",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","96","3.682","59.4","14.6","14.6","2.1",".",".","1.0",".",".",".",".",".",".",".","8.3","."
"The Symphony","106
001","74","3.333","31.1","21.6","18.9","10.8","6.8",".",".","10.8",".",".",".",".",".",".",".","."
"","113
001","684","3.984","98.5","0.9","0.1",".",".","0.1","0.1","0.1",".",".",".",".",".",".",".","."
"","113
002","28","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","113
003","518","3.953","96.1","1.4","1.4",".","1.0",".","0.2",".",".",".",".",".",".",".",".","."
"","113
004","77","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Music in Performance","Course Total","1307","3.970","89.7","1.0","0.6",".","0.4","0.1","0.2","8.1",".",".",".",".",".",".",".","."
"","121
001","21","3.119","23.8","23.8","42.9",".",".","4.8","4.8",".",".",".",".",".",".",".",".","."
"","121
002","22","3.318","18.2","27.3","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 1","Course Total","43","3.221","20.9","25.6","48.8",".",".","2.3","2.3",".",".",".",".",".",".",".",".","."
"","151
001","37","3.676","64.9","16.2","16.2",".",".","2.7",".",".",".",".",".",".",".",".",".","."
"","002
151","52","3.337","40.4","26.9","17.3","5.8","3.8","3.8","1.9",".",".",".",".",".",".",".",".","."
"","151
003","36","3.667","72.2","11.1","11.1",".","2.8",".","2.8",".",".",".",".",".",".",".",".","."
"","004
151","19","3.711","57.9","31.6","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","144","3.556","56.9","20.8","13.9","2.8","2.1","2.1","1.4",".",".",".",".",".",".",".",".","."
"","171
101","10","3.300","10.0","40.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","171
102","11","3.136","27.3","36.4","9.1","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"","103
171","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","171
104","11","3.318","9.1","45.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 1","Course Total","43","3.337","23.3","37.2","32.6","2.3","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"The Big Bands","205
001","287","3.341","27.5","28.9","21.3","10.1","5.2",".",".","5.9",".",".",".",".","1.0",".",".","."
"Survey-Hist Western Music","211
001","28","3.444","35.7","35.7","17.9",".","3.6","3.6",".","3.6",".",".",".",".",".",".",".","."
"","221
001","23","3.587","39.1","39.1","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
221","13","3.423","30.8","53.8","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Musica Practica 3","Course Total","36","3.528","36.1","44.4","16.7",".",".","2.8",".",".",".",".",".",".",".",".",".","."
"Bascom Course","236
001","6","3.167","16.7","66.7",".",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"","253
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","253
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Conducting","Course Total","5","***","","","","","","","","","","","","","","","",""
"University Opera","256
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
041","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
050","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
096","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
262","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"","262
196","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
296","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","43","4.000","97.7",".",".",".",".",".",".",".",".",".",".",".",".",".","2.3","."
"","001
264","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","41","3.976","95.1","4.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Woodwind","265
032","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
