"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","101
001","20","2.500","15.0","5.0","25.0","15.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"","002
101","22","3.136","36.4","13.6","18.2","13.6","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"","003
101","12","2.958","33.3","16.7","8.3","25.0",".","16.7",".",".",".",".",".",".",".",".",".","."
"","101
004","14","2.038","14.3",".","21.4","7.1","14.3","21.4","14.3",".",".",".",".",".","7.1",".",".","."
"Intermediate Algebra","Course Total","68","2.701","25.0","8.8","19.1","14.7","14.7","11.8","4.4",".",".",".",".",".","1.5",".",".","."
"","112
002","77","2.434","10.4","9.1","19.5","16.9","26.0","14.3","2.6",".",".",".",".",".",".",".","1.3","."
"","112
005","86","2.453","14.0","9.3","18.6","11.6","32.6","7.0","7.0",".",".",".",".",".",".",".",".","."
"","008
112","79","2.570","15.2","12.7","24.1","5.1","26.6","13.9","2.5",".",".",".",".",".",".",".",".","."
"","112
011","79","2.525","15.2","11.4","24.1","10.1","21.5","11.4","6.3",".",".",".",".",".",".",".",".","."
"","014
112","79","2.513","16.5","11.4","13.9","13.9","26.6","12.7","3.8",".",".",".",".",".","1.3",".",".","."
"","112
017","61","2.533","11.5","8.2","27.9","13.1","29.5","3.3","6.6",".",".",".",".",".",".",".",".","."
"Algebra","Course Total","461","2.503","13.9","10.4","21.0","11.7","27.1","10.6","4.8",".",".",".",".",".","0.2",".","0.2","."
"","113
001","49","2.684","14.3","14.3","20.4","16.3","24.5","10.2",".",".",".",".",".",".",".",".",".","."
"","113
002","41","2.679","14.6","12.2","19.5","19.5","19.5","7.3","2.4","2.4",".",".",".",".","2.4",".",".","."
"Trigonometry","Course Total","90","2.682","14.4","13.3","20.0","17.8","22.2","8.9","1.1","1.1",".",".",".",".","1.1",".",".","."
"","114
001","181","2.914","24.9","16.0","22.1","12.2","14.9","7.7","1.7","0.6",".",".",".",".",".",".",".","."
"","002
114","210","2.971","22.9","10.5","36.7","10.5","13.3","6.2",".",".",".",".",".",".",".",".",".","."
"Algebra and Trigonometry","Course Total","391","2.945","23.8","13.0","29.9","11.3","14.1","6.9","0.8","0.3",".",".",".",".",".",".",".","."
"","130
001","22","2.909","22.7","4.5","45.5","4.5","13.6","9.1",".",".",".",".",".",".",".",".",".","."
"","002
130","21","3.048","33.3","19.0","14.3","9.5","14.3","9.5",".",".",".",".",".",".",".",".",".","."
"Math for","Course Total","43","2.977","27.9","11.6","30.2","7.0","14.0","9.3",".",".",".",".",".",".",".",".",".","."
"","001
131","15","3.400","53.3","13.3","20.0",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","131
002","15","3.433","33.3","33.3","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Math for Tchng: Geom&Measrmnt","Course Total","30","3.417","43.3","23.3","20.0","6.7","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"Prob Solvng: Alg, Prob & Stats","132
002","24","2.625","8.3","4.2","37.5","29.2","8.3","12.5",".",".",".",".",".",".",".",".",".","."
"Pre-calc&Calc-Mid Schl Teachrs","136
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Quant Reasoning&Prob Solvng","141
001","59","2.974","15.3","22.0","23.7","16.9","20.3",".",".",".",".",".",".",".","1.7",".",".","."
"","171
001","221","2.855","20.4","21.7","19.5","10.0","19.5","4.5","4.1",".",".",".",".",".","0.5",".",".","."
"","002
171","256","2.798","18.4","19.1","19.5","10.5","22.7","5.9","2.7",".",".",".",".",".","1.2",".",".","."
"Calc with Algebra & Trig I","Course Total","477","2.825","19.3","20.3","19.5","10.3","21.2","5.2","3.4",".",".",".",".",".","0.8",".",".","."
"","211
001","241","2.994","25.7","15.8","24.5","16.2","11.2","5.0","1.7",".",".",".",".",".",".",".",".","."
