"PORTUGUESE (SPANISH & POR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","",""
"","101
001","","11","3.650","45.5","27.3","18.2",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","101
002","","11","3.318","45.5","27.3","9.1",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"","101
003","","10","3.389","40.0","10.0","30.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"","101
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Semester Portuguese","Course Total","","35","3.439","40.0","25.7","20.0",".","5.7","2.9",".","2.9",".",".",".",".","2.9",".",".","."
"","201
001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Semester Portuguese","Course Total","","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Yr Conversatn & Compositn","225
001","","12","3.773","58.3","25.0","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Intensive Portuguese","301
001","","18","3.750","72.2","5.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Yr Compositn & Conversatn","311
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Portuguese Civilization","361
001","","20","3.447","20.0","45.0","30.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Survey-Portug Lit pre 1825","411
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Luso-Braziln Lit","640
001","","8","3.917","62.5","12.5",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Directed Study","699
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Brazilian Literature","751
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","6","",".",".",".",".",".",".",".","66.7",".",".",".","16.7","16.7",".",".","."
