"699","158
2","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"699","159
2","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Hum Cancer Bio","Course Total
26","4.000","96.2","",".","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".","3.8","."
"922
Radiation Oncology-CSC","008
1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"H ONCOL
480","28
Dept. Total","4.000","92.9","",".","",".",".","",".","",".","",".","",".","",".",".",".","3.6",".",".","3.6","."
"Summary by Level","#","Ave","A","AB","","B","","BC","C","","D","","F","","S","","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","3","***","","","","","","","","","","","","","","","","",".",".",".",".",".","33.3","."
"Junior","5","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","18","4.000","94.4","",".","",".",".","",".","",".","",".","",".","",".",".",".","5.6",".",".",".","."
"Undergraduates","26","4.000","92.3","",".","",".",".","",".","",".","",".","",".","",".",".",".","3.8",".",".","3.8","."
"Graduate","1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total
28","4.000","92.9","",".","",".",".","",".","",".","",".","",".","",".",".",".","3.6",".",".","3.6","."
