"SOIL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Educ-Soil Science","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"301
General Soil Science","001","","73","2.910","19.2","17.8","21.9","19.2","15.1","4.1","1.4",".",".",".",".",".","1.4",".",".","."
"321
Soils and Environmental Chem","001","","21","3.405","33.3","23.8","38.1",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"323
Soil Biology","001","","15","3.533","66.7","6.7","6.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"324
Soils and Envrnmtl Quality","001","","16","3.633","56.3","12.5","18.8","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"325
Pedology","001","","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"370
Grassland Ecology","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"372
On-Site Waste Water Treatment","001","","6","3.250","33.3","16.7","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"499
Soil Management","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"622
Soil Physics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Special Problems","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"728
Graduate Seminar","001","","19","4.000","5.3",".",".",".",".",".",".","94.7",".",".",".",".",".",".",".","."
"799
Pract-Soil Science Teaching","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","19","",".",".",".",".",".",".",".","63.2",".",".",".","36.8",".",".",".","."
