"PLANT PATHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","",""
"123
Plants, Parasites, & People","001","","45","3.456","48.9","20.0","22.2","4.4",".","2.2","2.2",".",".",".",".",".",".",".",".","."
"299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"300
Intro to Plant Pathology","001","","92","3.163","34.8","9.8","31.5","12.0","7.6","3.3","1.1",".",".",".",".",".",".",".",".","."
"309
Diseases of Trees and Shrubs","001","","7","3.286","28.6","28.6","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"311
Global Food Security","001","","17","3.735","58.8","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"323
Soil Biology","001","","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"590","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone in Plant Pathology","Course Total","","4","***","","","","","","","","","","","","","","","",""
"606
Colloquium in Env Tox","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"640
Gen Virology-Multiplication","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honors Thesis","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","11","3.839","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Plant Pathology Tchg","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"800
Inquiry-Based Biology Teaching","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Teaching Biol: Special Topics","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","002","","7","3.714","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"923
Seminar","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
