"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"B M I","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","","11","3.400","18.2","45.5","18.2","9.1",".",".","",".",".","",".",".","",".","",".","9.1",".",".","."
"Undergraduates","","12","3.409","16.7","50.0","16.7","8.3",".",".","",".",".","",".",".","",".","",".","8.3",".",".","."
"Special","","11","3.700","63.6","9.1",".",".","9.1",".","",".","18.2","",".",".","",".","",".",".",".",".","."
"Graduate","","55","3.629","56.4","25.5","9.1",".","1.8","1.8","",".","5.5","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","2","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 2","","2","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","","3","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","","42","3.573","23.8","64.3","7.1",".",".",".","",".",".","",".",".","",".","",".","4.8",".",".","."
"Professionals","","49","3.584","28.6","59.2","8.2",".",".",".","",".",".","",".",".","",".","",".","4.1",".",".","."
