"GENETICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"155
Freshman Seminar in Genetics","001","","55","3.944","89.1","7.3","1.8",".",".",".",".",".",".",".",".",".","1.8",".",".","."
"160
Heredity","001","","109","3.202","38.5","11.9","24.8","4.6","18.3","1.8",".",".",".",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","093","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","094","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","27","3.992","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"466
General Genetics","001","","129","2.250","8.5","6.2","24.8","7.0","31.0","10.1","10.1",".",".",".",".",".","2.3",".",".","."
"470
Basic Cytology & Lab Procudure","001","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"522
Evolution Seminar Series UG","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"545","001","","11","3.900","81.8",".","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"545","002","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genetics Laboratory","Course Total","","20","3.789","70.0","10.0","15.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"565
Human Genetics","001","","55","3.300","21.8","25.5","45.5","5.5","1.8",".",".",".",".",".",".",".",".",".",".","."
"567
Companion Research Seminar","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
The Female Reproductive System","001","","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"571
Clinical Practice I","001","","7","3.583","42.9","14.3","28.6",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"572
The Respiratory System","001","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"573
The Genitourinary System","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"607
Advanced Microbial Genetics","001","","10","3.550","70.0",".","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"612
Prokaryotic Molecular Biol","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"629
Evolutionary Genetics","001","","19","3.289","36.8","15.8","26.3","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"631
Plant Genetics","001","","24","3.500","41.7","29.2","20.8","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"633
Population Genetics","001","","14","3.357","21.4","42.9","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"677","001","","12","3.417","25.0","41.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"677","011","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"677","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Topics in Genetics","Course Total","","19","3.788","52.6","26.3","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"681","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","","","Page 28 of 421"
