"INTERNATIONAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","",""
"Intro to International Studies","101
001","306","3.203","24.5","31.4","22.9","9.2","9.2","1.6","1.0",".",".",".",".",".","0.3",".",".","."
"WIScholars:Wi Intntl Schlr Smr","212
001","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
007","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
009","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
011","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
015","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
019","18","",".",".",".",".",".",".",".",".",".","88.9","11.1",".",".",".",".","."
"","310
020","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
026","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
027","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
028","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","310
030","11","",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".",".",".","."
"","310
031","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
032","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Internl Learning Community Smr","Course Total","146","",".",".",".",".",".",".",".",".",".","97.3","2.7",".",".",".",".","."
"Comparative Study of Genocide","318
001","52","3.250","21.2","28.8","30.8","17.3","1.9",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Issues-Intl St","320
001","12","3.750","75.0","16.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"DC Sem:Intl Affrs Intrshp Smr","322
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Globalization and Education","335
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Growth&Develpmt Global Econ","374
001","20","3.000","15.0","20.0","45.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"Contentious Politics","431
001","21","3.738","57.1","38.1",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Topics:Culture-Age of Globlztn","603
001","14","3.536","35.7","35.7","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"DC Sem:Intl Affrs Intrshp Smr","622
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
