"COMPUTER SCIENCES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"Introducing Comp Sci to K-12","","Course Total","29","3.759","69.0","20.7","6.9",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Found of Mobl Systms&Applctns","407","001","60","3.767","65.0","26.7","6.7",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Numerical Methods","412","001","35","2.941","31.4","20.0","8.6","14.3","8.6","11.4","2.9",".",".",".",".",".",".","2.9",".","."
"Intro-Combinatrl Optimizatn","425","001","18","2.722","11.1","16.7","27.8","16.7","16.7","11.1",".",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435","001","38","3.250","31.6","28.9","23.7","10.5",".",".","5.3",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475","001","10","3.300","30.0","20.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Software Engineering","506","001","52","3.160","26.9","17.3","36.5","1.9","7.7","5.8",".","3.8",".",".",".",".",".",".",".","."
"Numerical Analysis","514","001","9","3.278","66.7",".",".","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Intro to Theory of Computing","520","001","41","2.732","17.1","12.2","24.4","22.0","14.6","4.9","4.9",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","26","2.865","23.1","11.5","34.6","7.7","11.5","7.7","3.8",".",".",".",".",".",".",".",".","."
"Advanced Linear Programming","526","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thry&Appl of Pattrn Recgntn","532","001","26","3.217","34.6","19.2","15.4","3.8","11.5",".","3.8","7.7",".",".",".",".",".","3.8",".","."
"Image Processing","533","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Computational Photography","534","001","64","3.344","39.1","31.3","12.5","6.3","6.3","3.1","1.6",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","536","001","70","3.371","51.4","12.9","20.0","4.3","5.7","4.3","1.4",".",".",".",".",".",".",".",".","."
"Intro to Operating Systems","537","001","191","3.267","40.3","16.8","21.5","11.5","7.3","2.6",".",".",".",".",".",".",".",".",".","."
"","540","001","79","3.127","26.6","12.7","36.7","6.3","8.9","2.5","1.3",".",".",".",".",".","2.5",".","2.5","."
"","540","002","57","3.140","36.8","15.8","15.8","12.3","14.0","5.3",".",".",".",".",".",".",".",".",".","."
"","540","003","55","3.340","23.6","21.8","30.9","7.3","1.8",".",".","1.8",".",".",".",".","5.5",".","7.3","."
"","540","004","31","3.161","35.5","19.4","16.1","19.4","3.2","3.2","3.2",".",".",".",".",".",".",".",".","."
"","540","005","65","3.461","33.8","33.8","27.7","1.5",".",".","1.5",".",".",".",".",".",".","1.5",".","."
"Intro-Artificl Intelligence","","Course Total","287","3.248","30.7","20.6","27.2","8.0","5.9","2.1","1.0","0.3",".",".",".",".","1.7","0.3","2.1","."
"Intro-Computer Architecture","552","001","14","2.536","7.1","14.3","28.6","7.1","35.7",".","7.1",".",".",".",".",".",".",".",".","."
"Computer Graphics","559","001","56","2.893","19.6","19.6","30.4","8.9","12.5","3.6","5.4",".",".",".",".",".",".",".",".","."
"","564","001","64","3.214","23.4","28.1","31.3","12.5","3.1",".","1.6",".",".",".",".",".",".",".",".","."
"","564","002","47","3.343","29.8","29.8","27.7","8.5","4.3",".",".",".",".",".",".",".",".",".",".","."
"Database Mgt Systems","","Course Total","111","3.268","26.1","28.8","29.7","10.8","3.6",".","0.9",".",".",".",".",".",".",".",".","."
"Introduction to Bioinformatics","576","001","50","2.989","30.0","18.0","12.0","12.0","8.0","4.0","6.0",".",".",".",".",".",".",".","10.0","."
"","577","001","94","3.000","28.7","16.0","12.8","16.0","22.3","3.2",".","1.1",".",".",".",".",".",".",".","."
"","577","002","87","2.988","24.1","11.5","21.8","20.7","16.1","2.3",".","3.4",".",".",".",".",".",".",".","."
"Introduction to Algorithms","","Course Total","181","2.994","26.5","13.8","17.1","18.2","19.3","2.8",".","2.2",".",".",".",".",".",".",".","."
"Undergrad Topics-Computing","638","001","49","",".",".",".",".",".",".",".","87.8","12.2",".",".",".",".",".",".","."
"Intro to Computer Networks","640","001","69","3.094","26.1","23.2","27.5","7.2","7.2","8.7",".",".",".",".",".",".",".",".",".","."
"","681","090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","112","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","682","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
