"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"551
Digital Sys Design & Synthesis","001","","77","3.318","28.6","33.8","22.1","9.1","5.2",".","1.3",".",".",".",".",".",".",".",".","."
"552
Intro-Computer Architecture","001","","28","3.037","21.4","32.1","14.3","17.9","3.6",".","7.1",".",".",".",".",".","3.6",".",".","."
"554
Digital Engineering Lab","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"555
Digital Circuits&Components","001","","27","3.635","40.7","40.7","14.8",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"601
Topics-Elec&Computer Engr","001","","13","3.833","69.2","15.4","7.7",".",".",".",".",".","7.7",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","32","3.947","87.5","9.4",".",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"702
Grad Cooperative Educ Program","001","","16","",".",".",".",".",".",".",".",".",".","87.5",".",".",".",".",".","."
"712","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"712","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Solid State Power Conversn","Course Total","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"717
Linear Systems","001","","26","3.712","53.8","34.6","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Plasma Kinetic&Radiatn Proc","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"730
Probability&Stochastic Proc","001","","20","3.421","30.0","25.0","35.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"739
Advanced Robotics","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"740
Electromagnetic Theory","001","","10","3.200","20.0","60.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"745
Solid State Electronics","001","","26","3.720","53.8","30.8","11.5",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"748
Linear Waves","001","","24","3.854","70.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"751
Embedded Computing Systems","001","","24","3.833","70.8","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"752
Adv Computer Architecture I","001","","13","3.278","7.7","23.1","38.5",".",".",".",".",".",".",".",".",".","30.8",".",".","."
"756
Computer-Aided Desgn-VLSI","001","","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"759
HPC for Apps in Engr","001","","29","3.964","89.7","6.9",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"790","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
