"FRENCH (FRENCH AND ITALIAN) Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","","",""
"","313","001","","20","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313","002","","25","3.740","52.0","44.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Comm&Cultr in Franc World","","Course Total","","45","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Lit","321","001","","27","3.404","37.0","18.5","29.6","7.4","3.7",".",".","3.7",".",".",".",".",".",".",".","."
"","322","001","","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322","002","","14","3.500","28.6","50.0","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Lit of Modernity","","Course Total","","27","3.611","40.7","44.4","11.1","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Civ","347","001","","18","3.750","66.7","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Modernity Studies","348","001","","26","3.540","38.5","38.5","7.7","11.5",".",".",".","3.8",".",".",".",".",".",".",".","."
"French-Reading Knowledge","391","001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"French/Francophone Cultrl Stdy","462","001","","10","3.800","80.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Phonetics","590","001","","10","3.667","50.0","20.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Grammaire avancee","615","001","","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crit Approach to French Lit","626","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit Francaise-XVIe Siecle","646","001","","6","3.600","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Directed Study","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"French Lit-14 & 15 C","704","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof French Masters Prg Intern","793","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","024","","25","3.939","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","27","3.945","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"College Teaching of French","820","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Materials&Methods-Rsch","901","001","","17","3.875","70.6","23.5",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Smr: Questions-Litterature","947","001","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","","Course Total","","18","",".",".",".",".",".",".",".","72.2","5.6",".",".","22.2",".",".",".","."
