"COMPARATIVE BIOSCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","",""
"500
Fund Principles-Vet Anatomy","001","","88","3.420","42.0","18.2","27.3","5.7","4.5","1.1",".",".",".",".",".",".","1.1",".",".","."
"501
Veterinary Histology","001","","88","3.210","26.1","19.3","38.6","9.1","3.4","3.4",".",".",".",".",".",".",".",".",".","."
"503
Veterinary Develomntl Anat","001","","88","3.597","53.4","23.9","13.6","6.8","2.3",".",".",".",".",".",".",".",".",".",".","."
"551
Veterinary Physiology A","001","","88","3.144","17.0","19.3","44.3","11.4","6.8",".",".",".",".",".",".",".","1.1",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775","001","","16","",".",".",".",".",".",".",".","75.0",".",".",".",".",".",".","25.0","."
"775","002","","12","",".",".",".",".",".",".",".","75.0",".",".",".",".",".",".","25.0","."
"775","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","35","",".",".",".",".",".",".",".","71.4",".",".",".",".",".",".","28.6","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
