"COMMUNITY & ENVIRONMENTA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"864
C&E SOC","","","","","","","","","","","","","","","","","","","","",""
"","140","001","","19","2.500","15.8",".","31.6","26.3","10.5","5.3","10.5",".",".",".",".",".",".",".",".","."
"","140","002","","19","2.947",".","31.6","57.9",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","","Course Total","","38","2.724","7.9","15.8","44.7","13.2","7.9","2.6","7.9",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210","001","","37","3.216","16.2","29.7","43.2","8.1",".","2.7",".",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211","001","","12","2.792","8.3","8.3","50.0","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","248","001","","19","3.632","68.4","21.1","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Issues in Food Systems","340","001","","16","3.833","62.5","31.3",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Meth-Sociological Inquiry","357","001","","32","3.578","46.9","28.1","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","360","001","","11","2.636","9.1","9.1","18.2","27.3","36.4",".",".",".",".",".",".",".",".",".",".","."
"Data Mgt for Sociological Res","365","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Experience","500","001","","19","3.895","89.5","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Public Hlth-Rural & Urban Comm","533","001","","16","3.654","43.8","25.0","6.3","6.3",".",".",".",".",".",".",".",".","18.8",".",".","."
"Envir Stwrdshp & Soc Justice","541","001","","31","3.518","35.5","38.7","3.2","9.7","3.2",".",".",".",".",".",".",".","9.7",".",".","."
"Poverty and Place","578","001","","8","3.375","25.0","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Community Development","617","001","","15","3.433","40.0","20.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","","8","3.357","12.5","50.0","12.5","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"","699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Research:Soc of Econ Chnge","993","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","","Course Total","","3","***","","","","","","","","","","","","","","","",""
