"","990
151","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
156","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
157","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
158","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Reading and Research","Course Total","25","",".",".",".",".",".",".",".","80.0","",".",".","",".","20.0",".",".",".","."
"MATH
600","Dept. Total","8619","2.937","27.6","13.4","24.5","9.9","15.4","5.6","2.6","0.4","",".",".","",".","0.1","0.3","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2981","2.954","25.8","13.5","25.8","10.3","17.3","5.2","1.9","0.0","",".",".","",".",".","0.3",".",".","."
"Sophomore","","2587","2.893","25.3","14.1","26.0","10.1","14.7","6.6","2.9","0.0","",".",".","",".",".","0.3","0.0",".","."
"Junior","","1503","2.785","22.4","12.6","25.0","11.5","17.5","6.8","3.7","0.1","",".",".","",".",".","0.3","0.1","0.1","0.1"
"Senior","","898","2.808","23.9","12.6","24.8","11.0","16.7","6.0","4.0","0.1","",".",".","",".","0.1","0.3","0.1","0.2","."
"Undergraduates","","7969","2.893","24.8","13.4","25.6","10.5","16.4","6.0","2.8","0.1","",".",".","",".","0.0","0.3","0.0","0.0","0.0"
"Special","","216","3.513","51.9","19.0","19.0","1.4","4.6","0.5","0.9","0.9","",".",".","",".",".",".","0.5","1.4","."
"Graduate","","432","3.759","68.5","11.1","6.7","2.5","1.9","0.2","0.2","5.8","",".",".","",".","1.2","0.7","0.2","0.9","."
"Prof Yr 1","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","8619","2.937","27.6","13.4","24.5","9.9","15.4","5.6","2.6","0.4","",".",".","",".","0.1","0.3","0.1","0.1","0.0"
